rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00194000394791971,1.00194188697307,0.000247618882544869,0.000244732216171127,7.92704768612553,2.24417130584473e-15
mean_bmi,0.00116533862554698,1.00116601789644,0.000634564195892572,0.000629610594680195,1.85088789069521,0.0641856831905686
smoke_rate,0.0761877747349544,1.07916519509162,0.00820469055510271,0.00813191857774615,9.36897904308219,7.3237499701164e-21
hispanic,-0.0637757129804675,0.93821540547116,0.00424790675123004,0.004252184745414,-14.9983401001685,7.52784566688952e-51
pct_blk,0.00321445577421971,1.00321962767732,0.00348170849633534,0.00346048902428662,0.928902172976077,0.352939786763824
medhouseholdincome,6.21707961240071e-07,1.00000062170815,4.92073678824013e-08,4.83371652020174e-08,12.8619036437437,7.37380318371369e-38
medianhousevalue,-2.51520740615251e-07,0.999999748479291,6.8235711683707e-09,6.73242915255601e-09,-37.3595822422817,1.77209902257999e-305
poverty,-0.171164774491696,0.842682709416202,0.0113502623526807,0.0112332749905685,-15.2372994193951,1.99966303654953e-52
education,0.0386048694048442,1.03935971967818,0.00603800173947166,0.00597443046206397,6.46168193771352,1.03545561893774e-10
popdensity,-1.08597739706755e-06,0.999998914023193,7.23042693163345e-08,7.13043385650201e-08,-15.23017279064,2.23001371952475e-52
pct_owner_occ,-0.00941235053000492,0.990631806990625,0.00488656203009064,0.00481545971307965,-1.95461100098902,0.0506290018640555
summer_tmmx,0.000559189045332415,1.00055934542067,0.000308713880800231,0.000306301677039228,1.82561535652579,0.0679082210057612
winter_tmmx,-3.13703990846304e-05,0.999968630092961,0.000159404471817119,0.000158269984110326,-0.198208139471113,0.842882219447733
summer_rmax,-0.00133920950736591,0.998661686833512,9.59235799667434e-05,9.53704555442669e-05,-14.0421842353925,8.60199485190887e-45
winter_rmax,0.000931643564537048,1.00093207767921,9.04233838859501e-05,9.00185404210819e-05,10.3494631236974,4.20839047022851e-25
as.factor(year)2002,-0.0180910203605354,0.982071639775366,0.00362837091294049,0.0036104923528641,-5.01067959503758,5.4238153721739e-07
as.factor(year)2003,-0.0524944350589031,0.9488596013889,0.00349987242456827,0.00348042375022323,-15.0827711871395,2.1025553338226e-51
as.factor(year)2004,-0.110826716674254,0.895093840328773,0.00351189731899043,0.00349294006181813,-31.7287771083501,6.23171056614002e-221
as.factor(year)2005,-0.109398808867615,0.896372864758218,0.00343844109956646,0.00341874495801689,-31.9996987815884,1.10098774196227e-224
as.factor(year)2006,-0.147296959125028,0.863037652453046,0.00352225503621416,0.00350029068628919,-42.0813504724043,0
as.factor(year)2007,-0.163792798164399,0.848917901005702,0.00358147975523985,0.0035579284543212,-46.0360010796361,0
as.factor(year)2008,-0.14754537627052,0.862823285730259,0.00357571114720453,0.00355099535253874,-41.5504278722962,0
as.factor(year)2009,-0.200449946404946,0.818362450983331,0.00367171397891673,0.00364688362989755,-54.964722417144,0
as.factor(year)2010,-0.189526982655915,0.82735039248531,0.00365320378253219,0.00362607630790421,-52.2677865997413,0
as.factor(year)2011,-0.175322497240583,0.83918634184537,0.00367157314159987,0.00364300910217837,-48.1257368079995,0
as.factor(year)2012,-0.180036984851081,0.835239319638158,0.00370853652632429,0.0036804962414391,-48.9164974070683,0
as.factor(year)2013,-0.164600123072529,0.848232825015927,0.00372802306382155,0.00369907353791602,-44.4976617483688,0
as.factor(year)2014,-0.186444380090757,0.829904719892885,0.00375529631712496,0.00372839408745918,-50.0066183233906,0
as.factor(year)2015,-0.142274843613757,0.867382829091033,0.00376630192207511,0.00373575762854824,-38.0846023110569,1.11253693040568e-308
as.factor(year)2016,-0.156209028446855,0.855380372851888,0.00386337485897122,0.00383357390621578,-40.7476240887326,0
as.factor(region)NORTHEAST,0.010879323853424,1.01093871889439,0.00164752012595079,0.00162579795230715,6.69168259068436,2.20618996539426e-11
as.factor(region)SOUTH,0.0352093396470998,1.0358365277576,0.00188039908478811,0.00186227131093923,18.9066649098203,1.00516256744628e-79
as.factor(region)WEST,0.0392301027541306,1.04000976523073,0.00292231395394758,0.00290628989243671,13.4983446958346,1.59929140708031e-41
