rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
pm25,0.00965091649380896,1.00969763676525,0.000336109981134238,0.00111244715572756,8.67539320328174,4.12124001225673e-18
no2,0.00269739564297813,1.00270103688783,7.81742447777594e-05,0.000270154336447393,9.98464684465055,1.77933556705452e-23
ozone_summer,0.000929205876596373,1.00092963772212,0.000151486627163555,0.000508698000948654,1.82663559688367,0.0677545774811726
mean_bmi,0.0137927081731285,1.01388826640266,0.000891436752954248,0.00267554911678271,5.15509436422306,2.53503236647195e-07
smoke_rate,0.120893786271468,1.12850504327327,0.0112084149027874,0.0343223856134224,3.52230138176031,0.000427817481780509
hispanic,0.0130399217348281,1.01312531227255,0.00581616623259475,0.0181887604236709,0.71692195790637,0.473422252405478
pct_blk,0.0984594993024177,1.10346971219626,0.00477228765374405,0.0143629851095978,6.85508608072176,7.12695907017233e-12
medhouseholdincome,1.24349755230398e-06,1.00000124349833,5.99432928890974e-08,1.95330665867281e-07,6.36611536024191,1.93875638172043e-10
medianhousevalue,5.24567160560387e-08,1.00000005245672,7.84314635471101e-09,2.63168266359768e-08,1.993276650777,0.0462311617222297
poverty,-0.149499515735971,0.861138855038172,0.0147159790441881,0.0457589456256646,-3.26711015063516,0.00108651396593364
education,0.292312731373113,1.33952186265431,0.00783553265128822,0.0241023515426246,12.1279755984043,7.50826286960496e-34
popdensity,-1.33406910770535e-06,0.999998665931782,6.36003977660479e-08,2.22827544741294e-07,-5.98700268072436,2.13743261398266e-09
pct_owner_occ,-0.0265014298108772,0.973846651418005,0.00626826025075497,0.0197127604180376,-1.34437943996052,0.178825718840442
summer_tmmx,-0.0023706503094704,0.997632157462787,0.000405447090544204,0.00132522595358367,-1.78886498793636,0.073636561624979
winter_tmmx,0.0100686319756769,1.01011949120157,0.000219374838077504,0.000711741848912865,14.1464661535021,1.96380646320814e-45
summer_rmax,0.00074406608458931,1.00074434297043,0.000116725471075795,0.000387122586017762,1.92204255567556,0.0546004032431416
winter_rmax,-0.00164594320636533,0.998355410615281,0.000115769661993474,0.00037841466496333,-4.34957563424459,1.36401233502302e-05
as.factor(year)2002,0.00901687613096647,1.00905765061924,0.00448700275975605,0.0132095366875499,0.682603511708699,0.494857414470204
as.factor(year)2003,0.0442192968167755,1.04521154132147,0.00430050563073523,0.0125808098977459,3.51482115827045,0.000440050227392172
as.factor(year)2004,0.0275384170656399,1.02792110406125,0.004301137511499,0.0126817604530593,2.17149796887991,0.0298935505202615
as.factor(year)2005,0.033506408497658,1.0340740705663,0.00398861245889989,0.0114200508794422,2.93399818016351,0.00334626170374805
as.factor(year)2006,0.039702416465423,1.04050109212381,0.00443443776852285,0.0130598246941798,3.04004206757205,0.00236545106204703
as.factor(year)2007,-0.00397695393271189,0.996030943675636,0.00443068903112644,0.0129822579722564,-0.30633761408923,0.759347603013101
as.factor(year)2008,-0.00236547841066072,0.997637317128698,0.00454640829192458,0.0133273535985899,-0.177490481749581,0.859123141005052
as.factor(year)2009,-0.0814024133595914,0.92182266304144,0.00452374955462493,0.0132501520413631,-6.14350787111549,8.07186703230394e-10
as.factor(year)2010,0.00033016302064695,1.00033021753046,0.00454157689974893,0.0131733706241447,0.0250629113889663,0.980004783306871
as.factor(year)2011,-0.0531174514552481,0.948268630410825,0.00463800530163521,0.0135227551227094,-3.92800512715382,8.56533854273383e-05
as.factor(year)2012,-0.0900212835424099,0.913911733785086,0.00472038000239259,0.0138013011892668,-6.52266639992027,6.90683691156947e-11
as.factor(year)2013,-0.140728150734187,0.868725441973886,0.00467672757336477,0.0138510939014991,-10.1600748457099,2.98846947061229e-24
as.factor(year)2014,-0.115923862161413,0.890543024737385,0.00486209123103304,0.0143715142636386,-8.0662246187037,7.25053606226875e-16
as.factor(year)2015,-0.067739910389899,0.934503496622034,0.00489642371657084,0.014574589972706,-4.64780899611969,3.3547933196326e-06
as.factor(year)2016,-0.202814322788213,0.816429819765407,0.00516724231399728,0.0153191085162058,-13.239303225358,5.20292768902097e-40
as.factor(region)NORTHEAST,0.0532562442705714,1.05469987129511,0.00238850537698266,0.0069895122027717,7.61945078934873,2.54757309776437e-14
as.factor(region)SOUTH,-0.00309355199341348,0.99691122810812,0.00254097123705924,0.00762257891586947,-0.405840599035715,0.684859725890942
as.factor(region)WEST,-0.124051891858671,0.883334001850241,0.00388273513346015,0.0125431289964872,-9.89002759147364,4.59901133384763e-23
