rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00763435493813224,1.00766357092688,0.000167146940391866,0.000535790431254335,14.2487705878948,4.56242576133923e-46
mean_bmi,0.0193391545804882,1.01952736736462,0.000732128373362367,0.00152271046038438,12.7004805467787,5.87677372297209e-37
smoke_rate,0.0922082976636114,1.09659321609787,0.00949481219638708,0.0201589843643201,4.57405472404718,4.78374804379115e-06
hispanic,0.0495239071926375,1.05077071289239,0.00491876795024833,0.0108366032936317,4.57005814928567,4.8758890524354e-06
pct_blk,0.127648979679727,1.13615411951019,0.00386593540750025,0.00795528520822729,16.0458080808609,6.1157716564273e-58
medhouseholdincome,1.48639584152516e-06,1.00000148639695,5.34128789480936e-08,1.34102683377466e-07,11.0840126691673,1.49996045722196e-28
medianhousevalue,4.33661001762249e-08,1.0000000433661,7.22797840841477e-09,1.96258798549101e-08,2.20963852305329,0.027130259494507
poverty,-0.0634932323663291,0.938480470571205,0.0125964317218505,0.0277779896072573,-2.28573893445985,0.0222695360496931
education,0.353101729677872,1.42347594581755,0.00662419743972879,0.0143456881411553,24.6137882131207,8.99236044747437e-134
popdensity,-1.81362831553473e-07,0.999999818637185,5.46216000973048e-08,1.6775126716656e-07,-1.08114135062478,0.279634241989556
pct_owner_occ,-0.0380189511085712,0.962694696586609,0.00530988572171192,0.0125731512058662,-3.02382039999907,0.00249604569220778
summer_tmmx,-0.00517110307356299,0.994842244063551,0.000345984970549807,0.000883498318817744,-5.85298575381865,4.82825498372944e-09
winter_tmmx,0.0107143299620012,1.0107719339408,0.000181449170881961,0.000441609010711016,24.2620274997344,4.93660281359914e-130
summer_rmax,-7.48654341727439e-05,0.999925137368174,0.000105946125592738,0.000292093165289003,-0.256306696182605,0.797714027109472
winter_rmax,-0.000649056489351739,0.999351154102247,0.000104273662567106,0.000272624603653749,-2.38077004295652,0.0172764930506019
as.factor(year)2002,-0.0297470535825022,0.970691035317684,0.00340129436617541,0.00658539148354999,-4.51712759322038,6.26841373944093e-06
as.factor(year)2003,-0.00379300522094703,0.99621417913705,0.0033346441459986,0.00649664382993733,-0.583840721491981,0.559327478297113
as.factor(year)2004,-0.0308468440666316,0.969624065383247,0.0032777111070757,0.00661237265857542,-4.66501899686901,3.08588528893083e-06
as.factor(year)2005,-0.0207329162613168,0.979480532960283,0.00319406025838375,0.00612937024151891,-3.38255243921747,0.000718155656048635
as.factor(year)2006,-0.0467271731603016,0.954347733751583,0.00342755167498283,0.00667905096007239,-6.99607974840113,2.63223745660499e-12
as.factor(year)2007,-0.0593499653957935,0.942376912132153,0.00355040022485144,0.00711443458969278,-8.34219004301175,7.29271273469266e-17
as.factor(year)2008,-0.0866252683556331,0.917020667918236,0.00361443311391785,0.00715813539232645,-12.1016526801792,1.03506108047693e-33
as.factor(year)2009,-0.123529070607208,0.883795948385759,0.00357014198169735,0.00757320469461839,-16.3113339185179,8.19826913240354e-60
as.factor(year)2010,-0.0713664047392492,0.931120662593763,0.00335948685567336,0.00683675726429862,-10.4386336943572,1.65170801872914e-25
as.factor(year)2011,-0.0947933187997859,0.909560904182003,0.0035437731751411,0.00735955253662061,-12.8803100906069,5.81016500168895e-38
as.factor(year)2012,-0.159064210608249,0.852941589312503,0.00365939377012547,0.00747906518105447,-21.2679267739478,2.25007702701914e-100
as.factor(year)2013,-0.196535127325799,0.821572471144505,0.00360960865596959,0.00773300035420769,-25.4151194004356,1.71645020118572e-142
as.factor(year)2014,-0.183360931095606,0.832467638050606,0.00378494056656216,0.00801727666499847,-22.8707251548542,9.09099558574216e-116
as.factor(year)2015,-0.144596214625636,0.865371646988445,0.00370399482905436,0.00790482491185858,-18.2921464090516,9.55765185046099e-75
as.factor(year)2016,-0.263579098465001,0.768296848934299,0.00389192637001301,0.00800930221943714,-32.9091213246195,1.62754283448923e-237
as.factor(region)NORTHEAST,0.0260314452789062,1.02637322255825,0.00190098530416412,0.003754855447235,6.93274232382906,4.12759649738929e-12
as.factor(region)SOUTH,-0.0197983360847346,0.980396363941816,0.00215183259497308,0.0046813382642518,-4.2292043358458,2.34519267382888e-05
as.factor(region)WEST,-0.181155817860232,0.834305348892884,0.0032711773647114,0.00852771531695267,-21.24318309502,3.81165730881722e-100
