rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),1.17289496076293e-06,1.00000117289565,5.05859124034659e-05,0.000237775836469184,0.0049327760893607,0.996064230077451
mean_bmi,0.00902965290167867,1.00907054319984,0.000621500754409562,0.00230979778530236,3.90928286412599,9.25705196304131e-05
smoke_rate,-0.0179541087386676,0.982206106001142,0.00775787558520622,0.0295769669840118,-0.607030083523198,0.543830947701528
hispanic,-0.0698849395034045,0.932501107774068,0.00415001059548136,0.0154098589593801,-4.53507976209381,5.758172040617e-06
pct_blk,-0.0230336551288861,0.977229594431881,0.00359200911742181,0.013197936093734,-1.74524675413619,0.0809419259790716
medhouseholdincome,3.86386772462715e-08,1.00000003863868,4.15407618857411e-08,1.68059178256392e-07,0.229911139915989,0.818160819786976
medianhousevalue,-1.5287589577624e-07,0.999999847124116,5.44718228694998e-09,2.29040612393527e-08,-6.67461958727109,2.47874284308966e-11
poverty,-0.108675940018446,0.897021059030891,0.0106288397864316,0.0400135010039397,-2.71598178844049,0.00660795528210402
education,0.0473175048413876,1.04845484572773,0.0057499530024695,0.0211647550665217,2.23567457750712,0.0253730954906945
popdensity,-5.8388376514063e-07,0.999999416116405,4.44832142465471e-08,2.10355329639893e-07,-2.77570226597149,0.00550826250154891
pct_owner_occ,0.0161132152475549,1.01624373317922,0.0044400739009601,0.0171505303839885,0.939517022901985,0.34746535643582
summer_tmmx,0.00113906875121508,1.00113971773641,0.000263351019292005,0.00103785440598457,1.09752268203216,0.272412971027948
winter_tmmx,-0.0031444393911491,0.996860499180691,0.000142931654015537,0.00055304574942492,-5.68567680778457,1.30295601352305e-08
summer_rmax,-0.00061896023719763,0.999381231279174,7.78792866739466e-05,0.000317748256491475,-1.94795793384388,0.0514199967804998
winter_rmax,0.000491070517927898,1.00049119111279,7.80680279635903e-05,0.000310810734179883,1.57996640374617,0.114114560544381
as.factor(year)2002,0.041877407285179,1.04276663532184,0.00458579203336244,0.0139216274217667,3.00808274898256,0.00262901542342728
as.factor(year)2003,-0.0170772373619906,0.983067752142701,0.00439861316813096,0.0132118900060962,-1.2925658141349,0.196161269583285
as.factor(year)2004,-0.0571230011775342,0.944477890328925,0.00433796314175045,0.0131246719235188,-4.35233745349263,1.34693729075232e-05
as.factor(year)2005,-0.0501090720483206,0.951125677617006,0.0042664634645882,0.0126848191775999,-3.95031819900187,7.80473624100942e-05
as.factor(year)2006,-0.0664845514072849,0.935677370643289,0.00431061263177192,0.0129487352248742,-5.1344436543555,2.82979854031265e-07
as.factor(year)2007,-0.0866967873943571,0.916955085826788,0.00433446138741291,0.0131474579605264,-6.5941863175873,4.27594447737406e-11
as.factor(year)2008,-0.0719724794397575,0.930556504895168,0.00432227852652111,0.0129966537994031,-5.5377699945399,3.06347209842635e-08
as.factor(year)2009,-0.110174401782171,0.895677913849849,0.00437302957270076,0.0132816953335337,-8.29520622295875,1.08396992208288e-16
as.factor(year)2010,-0.0861248816495091,0.917479647693815,0.00432574894617325,0.0130447679396231,-6.60225479273627,4.04950735246471e-11
as.factor(year)2011,-0.0929935751974734,0.91119935455325,0.00433347405250302,0.0129422271130955,-7.18528382981152,6.70677115103908e-13
as.factor(year)2012,-0.0797070980160505,0.923386768597576,0.0043779959150903,0.0131318973532607,-6.06973203276364,1.28123852667108e-09
as.factor(year)2013,-0.0641909997736489,0.937825857896688,0.00434370627607022,0.013167724495611,-4.87487415119028,1.08877842816862e-06
as.factor(year)2014,-0.0848234317849706,0.918674478794762,0.00437450400560486,0.0133360193566279,-6.36047605485919,2.01129409964515e-10
as.factor(year)2015,-0.0635929387522103,0.938386902739996,0.00435689629574726,0.01317331682301,-4.82740524703179,1.38323465046485e-06
as.factor(year)2016,-0.0766776441308139,0.926188367746333,0.00445646610762004,0.013499923477534,-5.67985768648374,1.34806858807871e-08
as.factor(region)NORTHEAST,-0.0015911582216548,0.998410106999444,0.00163581076880181,0.00562638141047164,-0.282803120793301,0.777327761905122
as.factor(region)SOUTH,0.0553086722698425,1.05686678980323,0.00179536438878456,0.00647940002384915,8.53607927682567,1.38853109335685e-17
as.factor(region)WEST,0.0408704898818397,1.04171718389323,0.00257014723275219,0.00999387140566296,4.08955531073581,4.32200999468432e-05
