rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0103183769542146,1.01037179497671,0.000263079047013285,0.000261036565973151,39.5284733989179,0
as.factor(above_median_popdensity)TRUE,0.117731462351775,1.12494198152843,0.00968668743266935,0.00962748030347748,12.2286889861774,2.18435597638702e-34
mean_bmi,0.0256317704299226,1.02596308896103,0.000681815206072921,0.00067551570815087,37.9440035526131,1.11253717151766e-308
smoke_rate,0.135986899161205,1.14566688429938,0.00878206654060312,0.00870014027800167,15.6304260409511,4.51772322429954e-55
hispanic,-0.0116212460760526,0.988446019780951,0.00454565358571447,0.00451359314646454,-2.57472166829113,0.0100320779745791
pct_blk,0.0973988674653188,1.10229995753741,0.00373019940340916,0.00369436272155494,26.3641864121897,3.52939055311573e-153
medhouseholdincome,8.5097497556608e-07,1.00000085097534,5.45305014135201e-08,5.42093960308782e-08,15.6979239370488,1.56273057562911e-55
medianhousevalue,9.88257486027406e-08,1.00000009882575,7.38411529392747e-09,7.33955648102549e-09,13.4648120575445,2.51958498640952e-41
poverty,-0.0987668421533539,0.905953913664136,0.0120291587913305,0.0119993422012063,-8.23102137577384,1.85623838394225e-16
education,0.424675578149749,1.52909426759494,0.00626742453452862,0.00622153137339509,68.2590109511902,0
popdensity,9.11360811988652e-07,1.00000091136123,7.19437479271945e-08,7.36396817957922e-08,12.3759471763596,3.52708637761032e-35
pct_owner_occ,0.0293366887322629,1.02977124849078,0.00539252819157656,0.00535286339915757,5.48055994421228,4.23981833233514e-08
summer_tmmx,-0.00184308499979437,0.998158612438363,0.000342031041054054,0.000338619437332297,-5.44293917181634,5.24085471718758e-08
winter_tmmx,0.00972966245624065,1.00977714950804,0.000177573240851786,0.000176183067330575,55.2247307511381,0
summer_rmax,0.00131533735385557,1.00131620278944,0.000103082208016298,0.000102557371498828,12.8253809027331,1.18204230026631e-37
winter_rmax,-0.000707562898235848,0.999292687365362,0.000101981916105783,0.000100476647475216,-7.0420631660743,1.89413917436502e-12
as.factor(year)2002,-0.0356003331501365,0.965025905283465,0.00301351362608705,0.00296219157435611,-12.0182413110384,2.84972231734687e-33
as.factor(year)2003,-0.00195284640760977,0.99804905915631,0.00295310779144244,0.00290145456431597,-0.673057724779558,0.50091056762826
as.factor(year)2004,-0.022999784925035,0.977262693957994,0.00304511479251159,0.00299190029043397,-7.68735007599429,1.50213706854695e-14
as.factor(year)2005,-0.0247052574988868,0.975597419679445,0.00298280319948707,0.00293034352538921,-8.43084003115487,3.4319263160826e-17
as.factor(year)2006,-0.0516936150702708,0.949619771463167,0.00312693494672174,0.00307611694888063,-16.8048276217462,2.24965612001669e-63
as.factor(year)2007,-0.055323153807657,0.946179337088666,0.00327015939405732,0.00321929721408924,-17.18485437304,3.44811763411299e-66
as.factor(year)2008,-0.0802773378953865,0.922860366740001,0.00325927253017087,0.00321060402313968,-25.003811531041,5.55686722150858e-138
as.factor(year)2009,-0.0935902015146923,0.910655871182453,0.00340057080708808,0.00335015655374688,-27.9360680652429,9.73472390459973e-172
as.factor(year)2010,-0.0600844466786969,0.941685008055154,0.00329389882070497,0.00324413934716639,-18.5209204195183,1.40022634522118e-76
as.factor(year)2011,-0.083828200080197,0.919589227880568,0.00332286484226427,0.00327462469008816,-25.5993306145689,1.55194921283647e-144
as.factor(year)2012,-0.135355956475579,0.873404962196978,0.00336519115343085,0.00331674803336296,-40.8098399739873,0
as.factor(year)2013,-0.161970085045116,0.850466645831034,0.00341713747478786,0.00336940940819559,-48.070764167497,0
as.factor(year)2014,-0.143518500125008,0.866304773292394,0.00350531785023686,0.00345877122061494,-41.4940714406349,0
as.factor(year)2015,-0.124532257062389,0.882909780831157,0.00343181232942999,0.003385993130939,-36.7786502354345,4.05189294392548e-296
as.factor(year)2016,-0.222649834298543,0.800395071131179,0.00350912042095756,0.00346420792853475,-64.2714983891617,0
as.factor(region)NORTHEAST,0.0353458062235775,1.03597789446803,0.00176772919122587,0.00175765058275957,20.1096887915478,6.07034805645797e-90
as.factor(region)SOUTH,-0.0154828952585449,0.984636348557865,0.00204916383802847,0.00202747284853257,-7.63654875563486,2.23121788222608e-14
as.factor(region)WEST,-0.163880929558934,0.848843087983977,0.00330595372542144,0.00328101225715832,-49.9482832474606,0
get(pollutants_i):as.factor(above_median_popdensity)TRUE,-0.00206784247758898,0.997934294035756,0.000298606507166631,0.000296548520970846,-6.97303251022542,3.10180909117994e-12
