rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00449122418710788,1.00450132485024,0.000164759708628274,0.000163270204132867,27.5079228997166,1.4114699413851e-166
as.factor(above_median_popdensity)TRUE,0.18122206526275,1.19868133522577,0.00848810876840068,0.00841497085155387,21.5356735584279,7.21382954085472e-103
mean_bmi,0.0237941382258792,1.02407947737131,0.000680417524825252,0.000674013663275288,35.3021600634243,5.440883743542e-273
smoke_rate,0.134314106433713,1.14375202309666,0.00877875233736812,0.00869576034827905,15.4459300917021,8.03599996830982e-54
hispanic,0.00235221533368144,1.00235498396255,0.00457324451406523,0.00454093959596059,0.518001898940445,0.604456944423765
pct_blk,0.108032437338475,1.11408388271636,0.00373469652883698,0.00369938222452328,29.2028319275381,1.78512755511554e-187
medhouseholdincome,9.65372234221679e-07,1.0000009653727,5.43896150324487e-08,5.40821726046816e-08,17.8501008322678,2.88515033865185e-71
medianhousevalue,9.36045972965695e-08,1.0000000936046,7.37831867053099e-09,7.33481850468771e-09,12.7616787295755,2.68354733478744e-37
poverty,-0.115627300553345,0.890807164773815,0.0120637549683362,0.012033679573285,-9.608640470205,7.3513181725988e-22
education,0.421021765286732,1.52351743784177,0.0063012342353007,0.00625523207648261,67.3071374713051,0
popdensity,1.10338240847863e-06,1.00000110338302,7.236343141197e-08,7.41370761217392e-08,14.8830041080497,4.24980465439455e-50
pct_owner_occ,0.0238909547547151,1.02417862999129,0.00538954910175009,0.00535088656285134,4.46485913578856,8.01214482070959e-06
summer_tmmx,-0.0017967335797285,0.998204879579766,0.000362582642455162,0.000359390788038606,-4.99938684999208,5.75129105349277e-07
winter_tmmx,0.010193210116739,1.01024533784874,0.00018900819552057,0.000187773860355755,54.2844999694152,0
summer_rmax,0.000973060929981701,1.00097353450736,0.000103382084078624,0.000102794757191554,9.4660560184839,2.906095710083e-21
winter_rmax,-0.00149374376634181,0.998507371313594,0.000102427026063038,0.000100908370691327,-14.8029718060862,1.4015103631777e-49
as.factor(year)2002,-0.0471631053714721,0.953931793501247,0.00301159293368248,0.0029608778735452,-15.9287574110585,4.00231654362189e-57
as.factor(year)2003,-0.00880414068864498,0.991234502268822,0.00295165911542554,0.00289971008778741,-3.03621411179174,0.00239569176293427
as.factor(year)2004,-0.0384352762350085,0.96229398601406,0.00301993826841305,0.00296638446836578,-12.9569435940928,2.14630197722095e-38
as.factor(year)2005,-0.039381840987857,0.961383543409439,0.0029660081284035,0.00291343003831394,-13.5173456956077,1.23553792905564e-41
as.factor(year)2006,-0.0707734178841556,0.931672968646118,0.00309453598995509,0.0030437673933867,-23.2519140713339,1.36049978937154e-119
as.factor(year)2007,-0.0817777511104847,0.921476733120712,0.00321071646046987,0.00315979169875968,-25.8807411711934,1.09729603268737e-147
as.factor(year)2008,-0.102827041039552,0.902283017919295,0.00320898147873383,0.00315960656255592,-32.5442547999935,2.52476294500439e-232
as.factor(year)2009,-0.1239840577169,0.883393924086518,0.00331038904691359,0.00325927862102529,-38.0403371829248,1.11253693547237e-308
as.factor(year)2010,-0.0759622831443998,0.926851163811648,0.00328016971522592,0.00323050779053731,-23.5140380614174,2.93057573884405e-122
as.factor(year)2011,-0.099648848892314,0.905155208490548,0.00331947947386671,0.00327111696931635,-30.4632484338034,7.99822284873594e-204
as.factor(year)2012,-0.159786064592406,0.852326112197034,0.00330749360842209,0.0032584634312937,-49.0372434620102,0
as.factor(year)2013,-0.187187571467612,0.829288170996739,0.00335794850136209,0.00331069156297169,-56.5403233454921,0
as.factor(year)2014,-0.167516066952229,0.845763028345504,0.00345023450387247,0.00340351301505743,-49.2185768678197,0
as.factor(year)2015,-0.145927315885976,0.864220516004395,0.00339134951482564,0.00334531519216883,-43.6213951461383,0
as.factor(year)2016,-0.247981289210302,0.780374544565422,0.00344902516516032,0.00340341653307734,-72.8624565345459,0
as.factor(region)NORTHEAST,0.0338234498233334,1.03440196675606,0.00176964376688015,0.00175978207088927,19.2202491335995,2.50564114178966e-82
as.factor(region)SOUTH,-0.0221424439948686,0.978100900528107,0.00204720382836603,0.00202580268588808,-10.9302076402183,8.26590652365104e-28
as.factor(region)WEST,-0.165887788955833,0.847141287464709,0.00340928082134664,0.00338547789338582,-48.9998145549634,0
get(pollutants_i):as.factor(above_median_popdensity)TRUE,-0.00246757415092459,0.99753546780757,0.000184978778746508,0.000183232232491184,-13.4669218257946,2.4486316259377e-41
