rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0202438990233911,1.02045019648394,0.000314888875965531,0.000314511530994595,64.366158402437,0
as.factor(above_median_poverty)TRUE,-0.005800392014045,0.994216397781563,0.00394218368754621,0.00393354517956348,-1.47459651516922,0.140321052365922
mean_bmi,0.0152039101499508,1.01532007757825,0.00067971843596769,0.000673488118848407,22.5748750786396,7.65256961386586e-113
smoke_rate,0.209867895675203,1.23351509651394,0.00882397840053858,0.00876064742020087,23.9557518535989,8.04900565069067e-127
hispanic,0.0476000491683644,1.04875112255018,0.00452599866022606,0.00447542600782238,10.6358699898438,2.02925941203111e-26
pct_blk,0.131464942696675,1.14049792423985,0.00368430449540175,0.00362552670480866,36.2609224536419,6.6856744156181e-288
medhouseholdincome,9.68626665647175e-07,1.00000096862713,5.41789445866562e-08,5.38833080713067e-08,17.9763771067162,2.9836247917555e-72
medianhousevalue,9.68179707682429e-08,1.00000009681798,7.38469574691256e-09,7.31485406448623e-09,13.2358034643912,5.45106609433483e-40
poverty,-0.0858185937689102,0.917760703630416,0.0132020740110703,0.0130967397605914,-6.55266847609978,5.65178974074807e-11
education,0.31464222292314,1.36976915127536,0.00641067426153109,0.00635920608458476,49.4782239697906,0
popdensity,6.7279905659131e-07,1.00000067279928,7.25688419535033e-08,7.3098199576553e-08,9.20404415551593,3.44725541919223e-20
pct_owner_occ,0.0171015218906123,1.01724859008327,0.00523752189678209,0.00520299566792451,3.28686068221043,0.00101310941751769
summer_tmmx,-0.00625629957465687,0.993763230318016,0.000334559659157035,0.000332598230129775,-18.8103814389384,6.20894265439835e-79
winter_tmmx,0.0123664031048603,1.01244318323934,0.000173399348258838,0.000172618856963283,71.6399315950212,0
summer_rmax,-0.00188670737738171,0.998115071336169,0.0001048801456117,0.000104851920998307,-17.9940182251137,2.17034260419302e-72
winter_rmax,-0.000702396703728275,0.999297849919091,9.7927900644201e-05,9.69667689007504e-05,-7.24368473540876,4.36655780569576e-13
as.factor(year)2002,-0.0394169357642917,0.961349804460949,0.00299335493496169,0.00296244502868267,-13.3055416666481,2.14929812431698e-40
as.factor(year)2003,0.000937139773620803,1.0009375790263,0.00293216624062146,0.00290014390978024,0.323135610774506,0.746592542171095
as.factor(year)2004,-0.0269234734767019,0.973435732326289,0.0030059498500188,0.00296828143474145,-9.07039108946453,1.18590584143814e-19
as.factor(year)2005,-0.0307446372516353,0.969723172635346,0.00295708448069714,0.00292266928270131,-10.5193692059538,7.03429349777464e-26
as.factor(year)2006,-0.0527459438307825,0.948620984884198,0.00310304155858642,0.00306586429806911,-17.2042656499839,2.46684176176057e-66
as.factor(year)2007,-0.069827333324497,0.932554827146983,0.00320842857676636,0.00317351740892007,-22.0031354257669,2.68744085247878e-107
as.factor(year)2008,-0.0738572477211573,0.928804273304665,0.00323649911466171,0.0032039949012228,-23.0516121274007,1.41714580623541e-117
as.factor(year)2009,-0.0826240415956593,0.920697226020407,0.00336457431684537,0.00332593328899179,-24.8423628546998,3.12714659837924e-136
as.factor(year)2010,-0.0213483720273774,0.978877891487136,0.00334797940938456,0.00331407361624955,-6.44173138541708,1.1811819776912e-10
as.factor(year)2011,-0.0386435503586938,0.962093585947194,0.00338354077382321,0.00335353041199601,-11.5232443458574,1.00744849443457e-30
as.factor(year)2012,-0.0978326340509569,0.90680065860709,0.0034349507618799,0.00340206875423799,-28.7568068485053,7.44576481044651e-182
as.factor(year)2013,-0.121540889728621,0.885554842511357,0.0034901510264195,0.00346309852441575,-35.0959953555252,7.75890721126688e-270
as.factor(year)2014,-0.116868789136641,0.889701924062652,0.00353230612680118,0.00350749282077407,-33.319751488714,1.99854124435065e-243
as.factor(year)2015,-0.0728333073716598,0.92975580054732,0.00354525030694117,0.00352268029615301,-20.6755371616318,5.75228416475318e-95
as.factor(year)2016,-0.166349892846496,0.846749910615178,0.00367077350805179,0.00364799808452091,-45.6003235178076,0
as.factor(region)NORTHEAST,0.0580074847935275,1.05972292748791,0.00179685273310113,0.00179992958461598,32.2276411751428,7.23837677246414e-228
as.factor(region)SOUTH,-0.00603525371945245,0.993982921841188,0.0020540833947328,0.0020426953430466,-2.95455401119734,0.00313121338939692
as.factor(region)WEST,-0.174421143202829,0.839943086839365,0.00321610454903621,0.00320774473421813,-54.3750072573475,0
get(pollutants_i):as.factor(above_median_poverty)TRUE,0.0011494709069115,1.0011501318018,0.000356670717848964,0.000354779832031973,3.23995560944937,0.00119548309183033
