rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00808962144458712,1.00812243084435,8.70484985648379e-05,8.65512828811112e-05,93.4662222823342,0
as.factor(dual)1,,,0,0,,
mean_bmi,0.0261064105688623,1.02645016780856,0.000680915965485556,0.000674714095222238,38.6925525251749,0
smoke_rate,0.152090749867766,1.16426588861352,0.00878541586741972,0.00872425422533526,17.4330946737079,4.62726438273767e-68
hispanic,-0.0408148885229678,0.960006821781634,0.00456794074527674,0.00452377367250806,-9.02231001763165,1.84164190952097e-19
pct_blk,0.0694400971850831,1.07190784898406,0.00376550429217887,0.00370408375463627,18.7469025499673,2.05199877032748e-78
medhouseholdincome,5.7649121213417e-07,1.00000057649138,5.43916887015639e-08,5.41812024541037e-08,10.6400593937078,1.94005636962209e-26
medianhousevalue,8.65908764965655e-08,1.00000008659088,7.39621185961544e-09,7.35288981084717e-09,11.776441470512,5.16269481216542e-32
poverty,-0.0837605349781812,0.919651454084732,0.0120658168208867,0.0119858179088613,-6.98830364478139,2.78229719218549e-12
education,0.412061700551739,1.5099275968205,0.00624776282404368,0.00619429220514461,66.5228063037621,0
popdensity,-3.76660500473917e-07,0.999999623339571,7.493477255829e-08,7.56659377914195e-08,-4.97794002781302,6.42645603127632e-07
pct_owner_occ,0.0314533673484139,1.03195325175714,0.0052453716154497,0.00521365396154074,6.03288357463578,1.61059456945811e-09
summer_tmmx,0.000775672251071772,1.00077597316259,0.000330682511085675,0.000329179029750194,2.35638415867624,0.0184538223666477
winter_tmmx,0.00966185502292231,1.00970868143265,0.000171611748139957,0.000170899697739929,56.5352376317571,0
summer_rmax,0.00166298901401423,1.00166437254707,0.000101919574353811,0.000102181354065116,16.2748774395225,1.48817154457744e-59
winter_rmax,-0.000468715073921752,0.999531394755828,9.796862899616e-05,9.70173588992486e-05,-4.83124957471278,1.35678798548445e-06
as.factor(year)2002,-0.0287914857887932,0.971619039723622,0.00300713025080902,0.00296882194696346,-9.69794965920454,3.07618018454052e-22
as.factor(year)2003,0.000305308971481503,1.00030535558301,0.00293847341718608,0.00289835274036684,0.105338790282255,0.916106983986447
as.factor(year)2004,-0.0126404066309782,0.987439147756195,0.00302797818322213,0.00298326370602864,-4.23710669808847,2.26418555370626e-05
as.factor(year)2005,-0.00882534862804907,0.991213480450478,0.00298489177118181,0.00294109061135595,-3.00070613056707,0.00269354376126591
as.factor(year)2006,-0.0242729076859558,0.97601931023692,0.00314912199148166,0.00310524284408812,-7.81675022041108,5.42045108715661e-15
as.factor(year)2007,-0.0177141890975368,0.982441784808468,0.00330887099914187,0.00326469316219144,-5.42598897277258,5.76345173298633e-08
as.factor(year)2008,-0.0477178487261818,0.953402752932393,0.00327924846884173,0.00324204260053405,-14.7184521012529,4.90765443054189e-49
as.factor(year)2009,-0.0623721812761806,0.939533145066521,0.0033917123878884,0.00334978172910126,-18.6197747555674,2.22146479697454e-77
as.factor(year)2010,-0.0173757091436612,0.982774377943354,0.00332685223863165,0.00328635305541938,-5.28723142360122,1.24181494126251e-07
as.factor(year)2011,-0.0474930942687589,0.953617058533001,0.00332491958032317,0.00328913080777632,-14.4394057410163,2.92351865936271e-47
as.factor(year)2012,-0.0937820560130522,0.910481174515815,0.0034003127886179,0.00336577212022737,-27.8634597539886,7.39988717811556e-171
as.factor(year)2013,-0.119801272382736,0.887096709816836,0.00343980943389366,0.00341024911343027,-35.12977157913,2.36765619639247e-270
as.factor(year)2014,-0.0975164502696044,0.90708741960046,0.00354425739462316,0.0035176203545359,-27.7222782566229,3.76293842015154e-169
as.factor(year)2015,-0.0793250802611409,0.923739586124818,0.00346356416561187,0.00344090860513764,-23.0535272406539,1.35582998975558e-117
as.factor(year)2016,-0.17032364628316,0.843391811795137,0.00357267436939881,0.00354998420259105,-47.9787054147578,0
as.factor(region)NORTHEAST,0.0430585488162287,1.0439990179679,0.00176236167014146,0.0017635976336659,24.4151772458013,1.18003052888683e-131
as.factor(region)SOUTH,0.0127648730239011,1.01284669178026,0.0020857229323843,0.00207516926676647,6.15124425189241,7.68774162492164e-10
as.factor(region)WEST,-0.135309236894098,0.873445768264489,0.00321386709435952,0.0032140862674009,-42.0988192714309,0
get(pollutants_i):as.factor(dual)1,-0.00180504276054751,0.998196585349386,0.000108381634548551,0.000107545657495081,-16.7839669456674,3.19744903837973e-63
