rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0123827654670528,1.01245974933693,0.000209762217087645,0.000207960944094782,59.5437067327851,0
as.factor(dual)1,,,0,0,,
mean_bmi,0.0230586865767991,1.02332659331973,0.000677650921594155,0.000671076873011675,34.3607230469973,9.74100444418054e-259
smoke_rate,0.136543102755383,1.14630428558417,0.00876712783819916,0.00868128218074881,15.7284488526562,9.65473877743524e-56
hispanic,0.0155192630544551,1.01564031220452,0.00449230323242781,0.00445991058166851,3.4797251582226,0.00050192840718727
pct_blk,0.123597989442544,1.13156088012952,0.00366393726398872,0.00362892027541948,34.0591636249866,2.96996311286548e-254
medhouseholdincome,1.24616016164933e-06,1.00000124616094,5.34169539435374e-08,5.31246094538662e-08,23.4573048999355,1.11342090415318e-121
medianhousevalue,7.47540046485248e-08,1.00000007475401,7.35969053678547e-09,7.31747585754811e-09,10.2158184193276,1.68451547367122e-24
poverty,-0.118202676208187,0.88851595331998,0.0120266277237128,0.0119957068056176,-9.85374835543938,6.60342924502187e-23
education,0.401293170431361,1.49375512914849,0.00623500636474026,0.00618847350746409,64.8452594888465,0
popdensity,9.58705067147936e-07,1.00000095870553,7.132695963374e-08,7.31867943703633e-08,13.0994269580437,3.31752942909909e-39
pct_owner_occ,-0.031320009777928,0.969165381048067,0.00516458351682115,0.00513160924863593,-6.1033504813823,1.03867733334663e-09
summer_tmmx,-0.00456636069543642,0.995444049278305,0.000333653172292376,0.000330332212528654,-13.8235404306515,1.83802806085987e-43
winter_tmmx,0.011318949407323,1.01138325109534,0.00017215960103369,0.00017080250046474,66.2692254301019,0
summer_rmax,0.000843504741062344,1.00084386059123,0.000101679818959359,0.000101155453818467,8.33869761067057,7.51132220504044e-17
winter_rmax,-0.000474800068013387,0.999525312631702,0.000101354490692196,9.98312914795596e-05,-4.75602449869741,1.97442519504419e-06
as.factor(year)2002,-0.0387822136512521,0.961960188131721,0.00301206497730669,0.00296087781408801,-13.0982148154592,3.37093274983435e-39
as.factor(year)2003,-0.000192539444922469,0.999807479089607,0.00295232365709472,0.00290073946965191,-0.0663759868601967,0.94707848774261
as.factor(year)2004,-0.0216592667235439,0.978573610844548,0.00304352420429049,0.00299011752777864,-7.24361718973454,4.36873410088692e-13
as.factor(year)2005,-0.0246993763655858,0.97560315731479,0.00298243079149248,0.0029299981979912,-8.42982646969532,3.46178181964914e-17
as.factor(year)2006,-0.0542322668645967,0.947212074971009,0.0031251509773567,0.00307424247461904,-17.640855369197,1.19636224504264e-69
as.factor(year)2007,-0.0573544247478312,0.944259341173167,0.00326848601851446,0.0032175536089134,-17.8254760352541,4.48258939568004e-71
as.factor(year)2008,-0.0824032122540919,0.92090056543344,0.00325632172304671,0.00320756570800315,-25.6902647538877,1.5016642214827e-145
as.factor(year)2009,-0.093233131793422,0.910981096881219,0.0033971936432008,0.00334659388832524,-27.8591113545837,8.35426698948037e-171
as.factor(year)2010,-0.0563601928062559,0.945198620824835,0.00329188183626633,0.00324197968947646,-17.3844990421138,1.08128002892592e-67
as.factor(year)2011,-0.0773914619279467,0.925527473912891,0.00331854778364423,0.00327032836213421,-23.6647374080324,8.3236267461982e-124
as.factor(year)2012,-0.136398585791811,0.872494799142243,0.00336438364504642,0.0033158994447364,-41.1347171604759,0
as.factor(year)2013,-0.162942089126794,0.849640390406831,0.00341500008154815,0.00336707370952489,-48.3927894616201,0
as.factor(year)2014,-0.146919183530289,0.86336374860719,0.00350051641500294,0.00345420094100493,-42.5334790996687,0
as.factor(year)2015,-0.125060354781108,0.882443641284515,0.00343033618225518,0.00338428317777863,-36.9532773150486,6.45215368094889e-299
as.factor(year)2016,-0.225904329675116,0.797794423266425,0.00350616522493775,0.00346126064446426,-65.2664889702583,0
as.factor(region)NORTHEAST,0.0299665964354389,1.03042011367385,0.00176263452679694,0.0017523373786412,17.100928622932,1.46058392977614e-65
as.factor(region)SOUTH,-0.0265015821276426,0.973846503084844,0.00202658333111849,0.00200439716309387,-13.221722029748,6.5741400961225e-40
as.factor(region)WEST,-0.193291405255649,0.824241750761533,0.0032050164356618,0.00318064101816377,-60.771210630755,0
get(pollutants_i):as.factor(dual)1,-0.0040466685334105,0.995961508196476,0.000281326743038125,0.000280565299404093,-14.423268101955,3.69427145317529e-47
