rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0034504743274167,1.00345643406663,0.000143439878178821,0.000142272086095018,24.2526445075969,6.20074412408985e-130
as.factor(dual)1,,,0,0,,
mean_bmi,0.0198145396055054,1.02001215062788,0.000674982465877567,0.000668193774584298,29.6538823903779,3.02234838912204e-193
smoke_rate,0.129501677541346,1.13826102094111,0.00875580742558938,0.00866808508485195,14.9400561108541,1.80822913548065e-50
hispanic,0.0388040390239588,1.03956674917398,0.00451684869345062,0.00448428243094829,8.65334412394558,5.00119341600583e-18
pct_blk,0.146008835958039,1.15720641303293,0.00365652800641484,0.00362262404597843,40.3047167205019,0
medhouseholdincome,1.55436475044453e-06,1.00000155436596,5.30872039423671e-08,5.28193673668119e-08,29.4279319865764,2.41256405832991e-190
medianhousevalue,6.47349456109275e-08,1.00000006473495,7.34634053909286e-09,7.30600687985718e-09,8.86050980726602,7.96493544353144e-19
poverty,-0.15381362470327,0.857431810228671,0.0120590802234169,0.0120300054494208,-12.7858316731416,1.96746799352913e-37
education,0.39660307953489,1.48676568519165,0.00626295921962729,0.00621686220938169,63.7947353789485,0
popdensity,1.26177695797714e-06,1.00000126177775,7.15653798650623e-08,7.36271646794367e-08,17.1373835115172,7.80862806123097e-66
pct_owner_occ,-0.0631572987472131,0.938795790672499,0.00512702233710918,0.00509548064595,-12.3947676648349,2.78953045126853e-35
summer_tmmx,-0.00487185332928936,0.995139994899388,0.000357027282844404,0.000353872067564869,-13.7672729097113,4.01069107878605e-43
winter_tmmx,0.0122630370955688,1.01233853643641,0.000184881966756236,0.000183744205765647,66.7397213668303,0
summer_rmax,0.000131800705545875,1.00013180939164,0.000101789889989057,0.000101196859782999,1.30241892711395,0.192773215872302
winter_rmax,-0.00162926293148777,0.998372063596843,0.00010190866605213,0.000100382676815344,-16.2305188821058,3.06854491828314e-59
as.factor(year)2002,-0.0539506037031144,0.947478907295293,0.00300887523108429,0.002958384663206,-18.2365073663707,2.64850405753075e-74
as.factor(year)2003,-0.0101024559521861,0.989948402446949,0.00295143604714574,0.00289959665166465,-3.48409008762867,0.000493813243058746
as.factor(year)2004,-0.0446946500216532,0.956289440215952,0.00301649247718051,0.0029629210998095,-15.0846575106326,2.04332153016243e-51
as.factor(year)2005,-0.0436854610301627,0.957255004127982,0.0029647370249298,0.00291236818741535,-14.9999787866562,7.34427926885293e-51
as.factor(year)2006,-0.0814856332236752,0.921745952276686,0.00308731471856077,0.00303674852501031,-26.83318442491,1.32542974442302e-158
as.factor(year)2007,-0.0937764023615738,0.910486322073605,0.00320146636909648,0.00315072200233998,-29.7634644668517,1.16113835348467e-194
as.factor(year)2008,-0.115744652458361,0.89070263298965,0.00319846624520539,0.00314903472142691,-36.7555974123759,9.46306415179559e-296
as.factor(year)2009,-0.138146477200481,0.870971104992593,0.00329787405267454,0.00324675635620092,-42.5490742280791,0
as.factor(year)2010,-0.0803328715520665,0.922809118352249,0.00327872586728233,0.00322891050370459,-24.8792499698889,1.24807023443844e-136
as.factor(year)2011,-0.100652476657608,0.904247225306189,0.00331884608645794,0.00327054914050039,-30.775405699059,5.59202296052694e-208
as.factor(year)2012,-0.173028540582581,0.841113608629642,0.0032973342401624,0.00324840955038734,-53.2656174963989,0
as.factor(year)2013,-0.202146374159024,0.81697533511218,0.00334511990057689,0.00329804068040899,-61.2928686294906,0
as.factor(year)2014,-0.185649713751592,0.830564479348094,0.00343138545341956,0.00338510980927969,-54.8430403181206,0
as.factor(year)2015,-0.158870163320858,0.853107116373732,0.00338153587418727,0.00333552278320548,-47.6297641019804,0
as.factor(year)2016,-0.266455848013055,0.766089827367555,0.00343015116955627,0.0033848215091272,-78.7207973284721,0
as.factor(region)NORTHEAST,0.0243761634218624,1.02467569091865,0.00176041146920668,0.00175044395502147,13.9257034490793,4.42166525744568e-44
as.factor(region)SOUTH,-0.0396200820692373,0.961154529635764,0.00202009454414676,0.00199845825508938,-19.8253238306773,1.8001875897294e-87
as.factor(region)WEST,-0.205099817336454,0.814566004544375,0.00333031330002447,0.00330771948140515,-62.0064121185168,0
get(pollutants_i):as.factor(dual)1,-0.00142271845689821,0.998578293127215,0.000183431903729648,0.000182667841945716,-7.78855457941522,6.77800923759953e-15
