rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0200435232330383,1.02024574345371,0.000291007700822784,0.000288614704225712,69.4473390980218,0
as.factor(dual)1,,,0,0,,
mean_bmi,0.0151268142759398,1.0152418036068,0.000679487970524298,0.000672437059985078,22.4955095072772,4.59276815455763e-112
smoke_rate,0.206701491492575,1.22961546631387,0.00882953699087991,0.00873983636906879,23.6504990212532,1.16644307637906e-123
hispanic,0.0459043533292287,1.04697426656479,0.00449727527385362,0.00446567736873408,10.279370751372,8.72956622538348e-25
pct_blk,0.130250924567421,1.13911417919918,0.00365382991160441,0.00361809571158836,35.9998559878451,8.40876335406706e-284
medhouseholdincome,9.31347973296663e-07,1.00000093134841,5.37775484120134e-08,5.34466382379952e-08,17.4257540605158,5.2610306244881e-68
medianhousevalue,9.5603040870822e-08,1.00000009560305,7.35226781377946e-09,7.30357793986642e-09,13.0898912365917,3.76146059492606e-39
poverty,-0.0674925607752528,0.934734674291484,0.0120603444470908,0.0120287264121736,-5.61094819705495,2.01220999050291e-08
education,0.314061051315651,1.36897331161793,0.00635717249014753,0.00630708406175863,49.7949683626192,0
popdensity,6.02807611029598e-07,1.00000060280779,7.16576594756776e-08,7.32528465117036e-08,8.22913565458903,1.88569133700897e-16
pct_owner_occ,0.0146500961256591,1.0147579347558,0.00522833530322199,0.00519157919122451,2.82189591760877,0.00477406686087845
summer_tmmx,-0.00622645190078377,0.993792892281489,0.000335145075789735,0.000332000314834166,-18.7543554104576,1.78367039892489e-78
winter_tmmx,0.0122312507519926,1.01230635840728,0.000173593257006729,0.000172275836147266,70.998063486611,0
summer_rmax,-0.00189169496010257,0.9981100931671,0.000105151918800482,0.000104649819625864,-18.0764282907092,4.88732182394182e-73
winter_rmax,-0.000707983050343279,0.999292267510522,9.81124308859733e-05,9.68063572163276e-05,-7.31339418919761,2.60477434056458e-13
as.factor(year)2002,-0.0389413379267465,0.961807129091758,0.00300921618781859,0.00295746050964283,-13.1671539822012,1.35614064223468e-39
as.factor(year)2003,0.000785707878592619,1.00078601662788,0.00294697526567975,0.00289536495232795,0.271367475786045,0.78610841437271
as.factor(year)2004,-0.0268789987228595,0.973479026603609,0.00301679712601244,0.00296327496397046,-9.07070692044204,1.18247313830375e-19
as.factor(year)2005,-0.0305219477191143,0.96993914388171,0.00296986144007976,0.00291762630780834,-10.4612258387682,1.3016068580087e-25
as.factor(year)2006,-0.0527707392769408,0.948597463695253,0.00311069048393757,0.003059223995293,-17.2497140968217,1.1245444655222e-66
as.factor(year)2007,-0.0699353971578494,0.932454057142445,0.00321710721862319,0.00316650207992112,-22.0860101754904,4.30807822730049e-108
as.factor(year)2008,-0.0744759750018409,0.928229774509722,0.00324613823748692,0.00319625071195489,-23.3010429135861,4.3266251729107e-120
as.factor(year)2009,-0.0831063279007535,0.920253293417072,0.00336994741697016,0.00331812171310875,-25.0461963382564,1.92065485916005e-138
as.factor(year)2010,-0.0222864820005516,0.977960026970855,0.00335555855241807,0.00330645313593338,-6.74029876859583,1.5806127468949e-11
as.factor(year)2011,-0.040261547486398,0.960538179949094,0.00339401366376118,0.00334620761557855,-12.0319932627483,2.41264684030634e-33
as.factor(year)2012,-0.0987403669561194,0.905977899290196,0.00344331680148907,0.0033933465538816,-29.0982265996886,3.78023248134741e-186
as.factor(year)2013,-0.122654926575569,0.88456885110416,0.00350218369278489,0.00345404111425325,-35.5105577838748,3.37777004791276e-276
as.factor(year)2014,-0.118405009551967,0.888336195102297,0.0035441835309293,0.00349805406237789,-33.8488220709426,3.77693975629551e-251
as.factor(year)2015,-0.0740193200663033,0.928653752015907,0.0035608079649131,0.00351295364796649,-21.0703947400929,1.48686762865645e-98
as.factor(year)2016,-0.165701173966887,0.847299391478537,0.00368290701533696,0.00363670103066357,-45.5635952941262,0
as.factor(region)NORTHEAST,0.0569862951598362,1.05864130178625,0.00180347789962521,0.00179457437370602,31.7547692616117,2.7286216337627e-221
as.factor(region)SOUTH,-0.006644602144449,0.993377424411478,0.00205720597763448,0.00203423887832054,-3.26638243682314,0.00108931027691688
as.factor(region)WEST,-0.17472030985467,0.839691841462331,0.0032170153185518,0.00319195516234174,-54.7377080718415,0
get(pollutants_i):as.factor(dual)1,0.00175702182592905,1.0017585662932,0.000376694784615604,0.000373834929606648,4.69999373193351,2.60169476198635e-06
