rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0204525210295126,1.02066310705922,0.000284274558006804,0.00028160458562966,72.6285084590557,0
as.factor(entry_age_over85)TRUE,-0.00905218772539693,0.990988659979294,0.00469965360228292,0.00464652297349057,-1.9481637725761,0.0513953700830346
mean_bmi,0.0151021189028671,1.01521673214128,0.000679505229952723,0.000672449630691238,22.4583644835123,1.06019229056565e-111
smoke_rate,0.207732697680459,1.2308841073943,0.00882714602000912,0.008737042985802,23.7760874037168,5.90463480742856e-125
hispanic,0.0457054277427322,1.04676601730851,0.00449708224787835,0.00446544135321529,10.2353662555265,1.37673263629822e-24
pct_blk,0.13029091519059,1.13915973399594,0.00365393604927651,0.00361806583744681,36.0112062754871,5.586128831576e-284
medhouseholdincome,9.30870558503646e-07,1.00000093087099,5.37797108696628e-08,5.34503852105408e-08,17.4156005581055,6.28261877261205e-68
medianhousevalue,9.59854992674141e-08,1.0000000959855,7.35295861202429e-09,7.30465656488591e-09,13.1403165110902,1.93416025446641e-39
poverty,-0.0672341006557841,0.934976297150664,0.0120596759258361,0.0120275945341756,-5.58998729669037,2.27086224829817e-08
education,0.314506826445203,1.36958370191157,0.00635699914692832,0.00630679735327972,49.8679137489094,0
popdensity,5.95948659484215e-07,1.00000059594884,7.16553764644699e-08,7.32474683823932e-08,8.13609907134299,4.08217801804954e-16
pct_owner_occ,0.0146003250687355,1.0147074304377,0.00522836907336606,0.00519162095504645,2.81228641211632,0.00491906806715965
summer_tmmx,-0.00621782223038945,0.993801468423594,0.000335130159396784,0.000331990743856868,-18.728902372863,2.8778834897672e-78
winter_tmmx,0.0122224753841629,1.01229747508561,0.000173582020336662,0.000172276572760143,70.9468222425112,0
summer_rmax,-0.00188090087126773,0.998120866914259,0.000105127075763093,0.000104625631089731,-17.9774387181914,2.92705192759198e-72
winter_rmax,-0.000716606422547618,0.999283650278513,9.80919228702063e-05,9.67861135155351e-05,-7.40402105755177,1.32121459656834e-13
as.factor(year)2002,-0.0389211090470632,0.961826585569241,0.00300923456500398,0.00295744348373485,-13.1603897964978,1.48318704654521e-39
as.factor(year)2003,0.000719434734776711,1.00071969359002,0.0029469313019018,0.00289521882442152,0.248490624856468,0.803754822935232
as.factor(year)2004,-0.0268558134860986,0.973501597206974,0.00301687239554154,0.00296325653295393,-9.06293909671307,1.26981936823662e-19
as.factor(year)2005,-0.0305904769157838,0.969872677008848,0.00296988515859788,0.00291748212130803,-10.4852320061755,1.00997473868516e-25
as.factor(year)2006,-0.0526964641072836,0.948667923549482,0.00311082657945696,0.0030592670590152,-17.2251925349227,1.71854923887588e-66
as.factor(year)2007,-0.0699642533998241,0.932427150410757,0.00321721793204784,0.00316643730687716,-22.0955751272476,3.48602920447607e-108
as.factor(year)2008,-0.0743682957139887,0.92832973101233,0.003246174620246,0.00319623089639591,-23.267497913823,9.46209752323385e-120
as.factor(year)2009,-0.0829435904026508,0.920403065322085,0.00336990868999944,0.00331800467286777,-24.9980330289777,6.42202044284066e-138
as.factor(year)2010,-0.0221563214142849,0.978087327105861,0.00335560307216889,0.00330640512844196,-6.70103044049093,2.06954919818225e-11
as.factor(year)2011,-0.0401233577242084,0.960670925663593,0.00339401638292521,0.00334614303297863,-11.9909272642454,3.96442213014005e-33
as.factor(year)2012,-0.0984434372079934,0.906246951022395,0.00344307883589613,0.00339302445668293,-29.0134770511596,4.44856092214173e-185
as.factor(year)2013,-0.122368700323522,0.884822074168904,0.00350200313378057,0.00345375155985363,-35.4306608923278,5.75961707830192e-275
as.factor(year)2014,-0.118060291338976,0.888642473554855,0.00354389363171277,0.00349761323990867,-33.7545300869398,9.17370102157072e-250
as.factor(year)2015,-0.0736508094899,0.928996033808699,0.0035605132416664,0.003512532763672,-20.9680064059831,1.28538317850728e-97
as.factor(year)2016,-0.165158419485371,0.847759391842785,0.00368195955685295,0.00363570710545947,-45.4267669794864,0
as.factor(region)NORTHEAST,0.0569909968697826,1.05864627922229,0.00180343456901422,0.00179451281556123,31.7584786107859,2.42512629596261e-221
as.factor(region)SOUTH,-0.00666619419853296,0.993355975583967,0.00205715187456926,0.00203414048579679,-3.2771552629128,0.00104858691179139
as.factor(region)WEST,-0.173992128346918,0.840303512210129,0.00321314214325917,0.00318734210664274,-54.5884698050771,0
get(pollutants_i):as.factor(entry_age_over85)TRUE,0.000698717004264881,1.00069896116385,0.000381551021178264,0.000375923436055212,1.85866838097921,0.0630741579191817
