rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0243074352666769,1.02460526926876,0.000829332438549603,0.000816380971394594,29.7746225333418,8.3265317209735e-195
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.0256541439965553,1.02598604367135,0.00116046580284711,0.00115469597637591,22.2172281894258,2.3407837049434e-109
smoke_rate,0.163398975074194,1.17750639168253,0.015350261261058,0.01530221560234,10.6781252676382,1.28847379543299e-26
hispanic,0.0430804359140694,1.04402186832661,0.00716074077663884,0.00711512598493671,6.05476782916763,1.40620329376173e-09
pct_blk,0.1105521719403,1.11689461809144,0.00588452381875849,0.0058382695066278,18.9357774276774,5.78552929619841e-80
medhouseholdincome,5.32873616590899e-08,1.00000005328736,1.05020616137161e-07,1.05476900460795e-07,0.505204091382043,0.613415496977945
medianhousevalue,2.1275683962362e-07,1.00000021275686,1.41077671283254e-08,1.41088786172676e-08,15.0796420746884,2.20460845269709e-51
poverty,-0.109363991933223,0.896404074256747,0.019091570387962,0.019061452471291,-5.73744273149905,9.61167643943003e-09
education,0.347721238896829,1.41583751429674,0.0107996392553885,0.0107820952597021,32.2498763479146,3.53203511712852e-228
popdensity,1.38493216752933e-07,1.00000013849323,1.29338490790057e-07,1.31075264881766e-07,1.05659307175811,0.290697343816338
pct_owner_occ,-0.0439022557031163,0.957047498836263,0.00911945220974372,0.00910701169640377,-4.8207092695898,1.43048705586026e-06
summer_tmmx,-0.00333906122525611,0.996666507240137,0.000570945704013373,0.00057112440986527,-5.84646911877538,5.02116731982533e-09
winter_tmmx,0.0142041050857787,1.01430546271599,0.00030049960236643,0.000302643143123936,46.9335103355107,0
summer_rmax,-2.9061526101031e-05,0.999970938896181,0.00018516213368131,0.000186908298069735,-0.155485478179188,0.876438601448765
winter_rmax,-0.000870999563762842,0.999129379646252,0.000166604589867921,0.000165597129554667,-5.25975037191276,1.44251094784306e-07
as.factor(year)2002,-0.0376767267076797,0.963024210583039,0.00501333570553126,0.00494893191658576,-7.61310265380911,2.67593084605999e-14
as.factor(year)2003,0.00722543505306817,1.00725160149226,0.00493653296361382,0.00487472330701481,1.48222465112443,0.138280529449339
as.factor(year)2004,-0.0234140154566288,0.976857965743948,0.00506635351153919,0.00499672114022122,-4.68587595736676,2.78765068532758e-06
as.factor(year)2005,-0.0303677780876053,0.970088690569591,0.005051589132822,0.00498788044557956,-6.08831314602144,1.14106523126018e-09
as.factor(year)2006,-0.0602024909266155,0.941573854117272,0.00532025752768122,0.00525450520441463,-11.4573092202926,2.16125329344117e-30
as.factor(year)2007,-0.0584866814063957,0.943190802291,0.00553325530655473,0.00547103676526124,-10.6902373198735,1.13081255815012e-26
as.factor(year)2008,-0.0501677147289703,0.951069902693048,0.00559525026253417,0.00553781649824262,-9.05911467902386,1.31513612749246e-19
as.factor(year)2009,-0.0531019051110071,0.94828337263598,0.00582140555077038,0.00575074994893556,-9.23390959136314,2.609300452029e-20
as.factor(year)2010,0.014328718914878,1.01443186707927,0.00579220168423466,0.00572926980959606,2.50096773080551,0.0123854463093121
as.factor(year)2011,-0.0253082954850569,0.975009274730865,0.00585891328168227,0.0058050223098711,-4.35972406893624,1.3022654823139e-05
as.factor(year)2012,-0.0884848212964219,0.91531700395604,0.00593202628104098,0.00587684258643115,-15.0565239744079,3.12807059716285e-51
as.factor(year)2013,-0.118645389012182,0.888122682990221,0.00605252867561931,0.00600503629501768,-19.7576472786052,6.89442158919042e-87
as.factor(year)2014,-0.111328623361523,0.894644699467408,0.00615406633075556,0.00610999176014216,-18.2207485266614,3.53289053250326e-74
as.factor(year)2015,-0.0920435020435028,0.91206547197023,0.0061938155244911,0.00615444981905166,-14.9556020033787,1.43181052022212e-50
as.factor(year)2016,-0.172941164368554,0.841187105163208,0.00638990531825102,0.00635397211541284,-27.2178034821794,3.99861862844582e-163
as.factor(region)NORTHEAST,0.0776587709768309,1.08075381117565,0.00363467813380387,0.00365954444236554,21.2208847849466,6.12603775681436e-100
as.factor(region)SOUTH,0.00425852797458502,1.00426760839,0.0037460560671841,0.00377310128140191,1.12865456211733,0.259043584136068
as.factor(region)WEST,-0.14647725328862,0.86374537947816,0.00549686117151398,0.00553435073495769,-26.4669263484509,2.33007257209847e-154
get(pollutants_i):as.factor(race_collapsed)Hispanic,-9.93409780001283e-06,0.999990065951543,0.00152494019703029,0.00146776047517953,-0.00676820092106494,0.994599798209932
get(pollutants_i):as.factor(race_collapsed)Others,-0.0142264515590596,0.985874266218364,0.00153600212080968,0.00149264126394877,-9.53105873639299,1.55687237164407e-21
get(pollutants_i):as.factor(race_collapsed)White,-0.00241122016567614,0.99759168449061,0.000837476901289685,0.00082486936359718,-2.92315398302712,0.00346505110974278
