rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00899873564496784,1.00903934598909,0.000155576957175422,0.000153679596252716,58.5551749509417,0
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.0263822493642811,1.02673334163977,0.000680300132062374,0.000674145659890077,39.1343457860173,0
smoke_rate,0.143601420377021,1.15442388697591,0.00879816359939528,0.00871867744440073,16.4705508711352,5.97240359018205e-61
hispanic,-0.0477081465280188,0.953412003079704,0.00456319882754192,0.00453307605022043,-10.5244531526664,6.6647310792853e-26
pct_blk,0.0602365125398026,1.06208771390478,0.00376467231378186,0.00373109364138274,16.144465491753,1.242199010302e-58
medhouseholdincome,5.23763747986372e-07,1.00000052376389,5.44503849779209e-08,5.41051991638578e-08,9.68046982694123,3.65034581789197e-22
medianhousevalue,9.01449632852207e-08,1.00000009014497,7.38678132308547e-09,7.34001654927449e-09,12.2813024575716,1.14145674763877e-34
poverty,-0.0849430838900362,0.918564564035402,0.0120039110863589,0.0119751919822519,-7.09325445603946,1.3099427649747e-12
education,0.407801558057921,1.50350877236394,0.00623560295784184,0.00618900610865908,65.8912838181503,0
popdensity,-3.94782785936002e-07,0.999999605217292,7.50646387472843e-08,7.64246669324727e-08,-5.16564614255792,2.39609725138382e-07
pct_owner_occ,0.0365032481004638,1.03717767286956,0.00523949442365619,0.00520057316454209,7.01908173301854,2.23331118582877e-12
summer_tmmx,0.00115890139127187,1.00115957317698,0.000332370613470996,0.000329068694855516,3.52176128993585,0.000428689971498977
winter_tmmx,0.00948456136245177,1.00952968235268,0.000172132143846352,0.000170697553754857,55.5635458963447,0
summer_rmax,0.00173710506422484,1.00173861470524,0.000102665809878605,0.000102170329759078,17.0020500895026,7.92975536064672e-65
winter_rmax,-0.000505247419432891,0.999494880196551,9.83910871668227e-05,9.69446716394044e-05,-5.21170901802845,1.8710887014691e-07
as.factor(year)2002,-0.0277744239161458,0.972607739102657,0.0030151362811314,0.00296377147703565,-9.37131088930164,7.16371901841437e-21
as.factor(year)2003,0.000964043047455578,1.00096450788632,0.00294504604047974,0.00289336079347857,0.333191439390643,0.738989779684104
as.factor(year)2004,-0.0116884684101808,0.988379576365607,0.00303160572430914,0.00297852329775173,-3.92424944904863,8.70005519476541e-05
as.factor(year)2005,-0.00834668793512631,0.991688048951447,0.00298917926623303,0.00293628904187616,-2.84259751546569,0.00447475397757216
as.factor(year)2006,-0.0236832016283087,0.976595044476847,0.00315285151353296,0.00310123741180278,-7.6366941589749,2.22870064335211e-14
as.factor(year)2007,-0.0174877697762469,0.982664253795279,0.00331217355851937,0.00326030673145958,-5.36384187644145,8.14702302543288e-08
as.factor(year)2008,-0.0475205697963485,0.953590857761141,0.0032879140528371,0.0032382277789748,-14.6748694161944,9.33951843967182e-49
as.factor(year)2009,-0.0619311568884721,0.939947593480767,0.00339681487574195,0.00334558749925127,-18.5112949227399,1.67427040074178e-76
as.factor(year)2010,-0.0181902927529194,0.981974152013195,0.00333224468487379,0.00328185317386612,-5.54268938591507,2.97860965427033e-08
as.factor(year)2011,-0.0494994014978479,0.951705727734218,0.00333338935937752,0.0032843407096091,-15.0713357335388,2.50006895212415e-51
as.factor(year)2012,-0.0945866582276306,0.909748893983243,0.00341068819475648,0.00336083930741918,-28.1437610000654,2.85704811904478e-174
as.factor(year)2013,-0.120196300914795,0.886746350511279,0.00345408785058803,0.00340543631824182,-35.2954187605689,6.9039382065986e-273
as.factor(year)2014,-0.0977228481901292,0.906900217962999,0.00356085045090812,0.00351309521736293,-27.816737703877,2.72181809685467e-170
as.factor(year)2015,-0.0797676238784928,0.923330881508363,0.0034823949734163,0.00343522860534541,-23.2204703216461,2.82874568306459e-119
as.factor(year)2016,-0.169264870161382,0.844285247797659,0.00359117687402118,0.0035434883929363,-47.7678635829033,0
as.factor(region)NORTHEAST,0.0421440456898262,1.04304471402548,0.00177104095253192,0.00176066121048185,23.9364878597469,1.27770188971702e-126
as.factor(region)SOUTH,0.0130802610441588,1.01316618187224,0.00209166898402568,0.00207087349091109,6.3163013586137,2.67897405745529e-10
as.factor(region)WEST,-0.134286408375002,0.874339610551919,0.00323458566121641,0.00321090825538474,-41.8219387457744,0
get(pollutants_i):as.factor(race_collapsed)Hispanic,-0.00254806771355444,0.997455175855453,0.000338094854859365,0.000333726516041639,-7.63519705828984,2.25475286355734e-14
get(pollutants_i):as.factor(race_collapsed)Others,-0.00595433562836758,0.994063356296051,0.000348058940143726,0.000343201473646881,-17.3493882910712,1.99355703596341e-67
get(pollutants_i):as.factor(race_collapsed)White,-0.001503677566857,0.998497452389821,0.000148940724342271,0.000146975853553833,-10.2307796178659,1.44352562701594e-24
