rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0117430695824528,1.01181229011254,0.000441438549995914,0.000438286294983068,26.7931480333111,3.8834665760749e-158
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.0232353143820552,1.02350735721347,0.000678082427883775,0.000671516782798163,34.6012415136303,2.42013371521728e-262
smoke_rate,0.133854143558636,1.14322606059863,0.0087743745462166,0.00868901813755783,15.4049791863201,1.51537902214014e-53
hispanic,0.0133794491262343,1.01346935446957,0.00450624172191385,0.00447461084756041,2.99008105554673,0.00278903426579461
pct_blk,0.122947688190893,1.13082526388486,0.0036725629879339,0.00363851428420013,33.7906295228194,2.70770847220322e-250
medhouseholdincome,1.24352318510117e-06,1.00000124352396,5.34281708119472e-08,5.31327277974938e-08,23.4040907863915,3.88275097531214e-121
medianhousevalue,7.57110478966302e-08,1.00000007571105,7.35857421782499e-09,7.31576753584383e-09,10.3490231921233,4.22777128755985e-25
poverty,-0.116258587662167,0.890244987160658,0.0120297323034045,0.0119997715685587,-9.68840006644646,3.37778359230848e-22
education,0.401334740084149,1.49381722532121,0.00623630438758003,0.00618972911615001,64.8388213043123,0
popdensity,9.73704527299015e-07,1.000000973705,7.13943696058131e-08,7.32507279795326e-08,13.2927624633448,2.54987473870509e-40
pct_owner_occ,-0.0289469990983365,0.971467951779537,0.0051653348001135,0.0051319152070009,-5.64058405697104,1.69474309141753e-08
summer_tmmx,-0.00456585725362626,0.995444550426585,0.00033402560137772,0.000330724787555249,-13.8056094536413,2.35770062506135e-43
winter_tmmx,0.0113816393136598,1.01144665660404,0.000172231522235286,0.000170865007115216,66.6118797863922,0
summer_rmax,0.000798980182591161,1.00079929945228,0.000101713017476851,0.000101176619766341,7.89688551007476,2.85958814457162e-15
winter_rmax,-0.000474557059685551,0.999525555524706,0.0001015031488853,9.99733205384972e-05,-4.74683702741284,2.06622302691842e-06
as.factor(year)2002,-0.0387146739266798,0.962025160851972,0.00301211283726944,0.00296104312407705,-13.0746741281409,4.59528981213808e-39
as.factor(year)2003,0.000378990557015606,1.00037906238301,0.00295275731416956,0.00290132857351944,0.130626555183949,0.896070734718938
as.factor(year)2004,-0.021487249728456,0.978741956615309,0.00304464536235235,0.00299148555660631,-7.18280243105442,6.82967623800732e-13
as.factor(year)2005,-0.0244459182852056,0.975850463157764,0.00298269575265114,0.00293043932372585,-8.34206601286126,7.30036785435679e-17
as.factor(year)2006,-0.0544207890282418,0.947033521332393,0.00312595335530845,0.0030752776139191,-17.6962199386248,4.48413606994356e-70
as.factor(year)2007,-0.0574533945760331,0.944165892612763,0.00326917131685515,0.00321853518901076,-17.8507896300776,2.8497843159713e-71
as.factor(year)2008,-0.0824972321076701,0.920813986567248,0.00325803667473011,0.00320957583815142,-25.7034687035733,1.06904053329026e-145
as.factor(year)2009,-0.093387179115555,0.910840773491229,0.00339962124430787,0.00334943980004205,-27.8814323262006,4.48116043744769e-171
as.factor(year)2010,-0.0561809357355422,0.945368069547834,0.00329279661425971,0.00324309743466908,-17.3232339969073,3.14193309610886e-67
as.factor(year)2011,-0.0772424279259172,0.925665419255334,0.00331932773565041,0.00327130827046238,-23.6120908027416,2.8956641394093e-123
as.factor(year)2012,-0.136558217996532,0.872355531989905,0.00336552932706982,0.00331727562800002,-41.1657737584088,0
as.factor(year)2013,-0.1628195636776,0.849744499355187,0.00341680566141376,0.00336921374138591,-48.3256855086389,0
as.factor(year)2014,-0.147023295360513,0.863273866906129,0.0035033050186083,0.00345735262573343,-42.5248192117297,0
as.factor(year)2015,-0.124882592427702,0.882600520486132,0.00343219322543649,0.00338644282653037,-36.8772186110263,1.07146520243055e-297
as.factor(year)2016,-0.226130374990757,0.79761410595491,0.00350749318065892,0.00346287044281843,-65.3014251398647,0
as.factor(region)NORTHEAST,0.0301461946111006,1.03060519186578,0.00176265839953391,0.0017523995532471,17.20280888867,2.5296583555725e-66
as.factor(region)SOUTH,-0.0262212636539024,0.974119528515494,0.00202758939198799,0.00200548080737634,-13.0748015924452,4.58759363745168e-39
as.factor(region)WEST,-0.194332835402861,0.823383807375295,0.00320811214454811,0.00318412778323806,-61.0317325912205,0
get(pollutants_i):as.factor(race_collapsed)Hispanic,-0.00312916529517353,0.996875725439913,0.000862184276807542,0.000850904712142778,-3.67745677103322,0.000235570982847351
get(pollutants_i):as.factor(race_collapsed)Others,-0.0029987860535354,0.99700570581419,0.000882959536337979,0.000873282435151479,-3.43392461914711,0.000594909612863889
get(pollutants_i):as.factor(race_collapsed)White,-0.000682923630183591,0.999317309509084,0.000447682131600495,0.000444475260413773,-1.53647163522181,0.124422749325106
