rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00231740152213387,1.00232008877245,0.000291199052867359,0.000289709915150093,7.99904111301566,1.2539184855985e-15
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.0197446926838643,1.01994090840718,0.000675043002191247,0.000668254074188365,29.5466850805892,7.24370716015107e-192
smoke_rate,0.12689303340149,1.13529557258061,0.00876009705161635,0.00867190476520402,14.6326599331035,1.73855039926897e-48
hispanic,0.0387292088591715,1.03948896113331,0.00452821540966634,0.00449578068005288,8.61456810627068,7.02057406612507e-18
pct_blk,0.146067122222666,1.15727386423787,0.00365703530368531,0.00362312821037294,40.3151955275772,0
medhouseholdincome,1.56020940409429e-06,1.00000156021062,5.30845691103108e-08,5.28171611083231e-08,29.5398194706915,8.87463689779242e-192
medianhousevalue,6.49694688651252e-08,1.00000006496947,7.34764192117294e-09,7.30713541704123e-09,8.89123646369103,6.04326173325136e-19
poverty,-0.153188974499352,0.857967572498361,0.0120639717168208,0.0120349570837564,-12.7286681151619,4.09769514831995e-37
education,0.397769437222108,1.48850079746173,0.00626721776918285,0.00622077988701425,63.9420529976384,0
popdensity,1.25879210008439e-06,1.00000125879289,7.15872726397488e-08,7.3646856804821e-08,17.0922718863676,1.69441916738066e-65
pct_owner_occ,-0.063554563460356,0.938422914302234,0.00512927008132506,0.00509785533258363,-12.466921737488,1.13111691398188e-35
summer_tmmx,-0.00504591990709926,0.99496678936112,0.000357113630177218,0.000353972287290753,-14.2551269923415,4.16543862151399e-46
winter_tmmx,0.0122940815611747,1.01236996443311,0.000184852642927438,0.000183706217530179,66.922512076408,0
summer_rmax,8.23343028001134e-05,1.00008233769236,0.000101716569693549,0.000101116924447135,0.814248487582891,0.415502613268068
winter_rmax,-0.00159754442345544,0.99840373097138,0.000101953244979945,0.000100429492913292,-15.9071242631357,5.65520872478178e-57
as.factor(year)2002,-0.0538142743528979,0.947608085284245,0.00300894999305464,0.00295847275580594,-18.1898833603549,6.20721175049369e-74
as.factor(year)2003,-0.0104110474712487,0.989642959896558,0.00295204222118797,0.00290028460443278,-3.58966408170304,0.000331104364440033
as.factor(year)2004,-0.0454756613502766,0.955542858911878,0.0030172635776436,0.00296380903939608,-15.343654313013,3.9057481323032e-53
as.factor(year)2005,-0.0433819024896596,0.957545631168853,0.00296472049473101,0.0029123850414133,-14.8956617592733,3.51685252801932e-50
as.factor(year)2006,-0.0816886686098182,0.921558824228791,0.00308744108704678,0.00303691088624225,-26.8986057443709,2.28026376749618e-159
as.factor(year)2007,-0.0936226655049125,0.910626308139027,0.00320155155291181,0.00315085035769701,-29.7134598208409,5.14558896070703e-194
as.factor(year)2008,-0.116202938466007,0.890294529957074,0.00319906076972623,0.00314970481315107,-36.8932790085029,5.92265968110739e-298
as.factor(year)2009,-0.139024747309025,0.870206492922783,0.00329924273574096,0.00324832212166762,-42.798941146161,0
as.factor(year)2010,-0.0802639803434434,0.922872693977617,0.00327901151281098,0.00322925695865143,-24.8552473126705,2.26923036101323e-136
as.factor(year)2011,-0.100494272058969,0.904390292692199,0.00331915879430217,0.00327086957803315,-30.7240229735479,2.71944450161884e-207
as.factor(year)2012,-0.172944760909823,0.84118407980451,0.00329790920102088,0.00324905823617597,-53.2291969975194,0
as.factor(year)2013,-0.202507016880028,0.816680752027147,0.00334633104049547,0.0032994245674699,-61.3764651195881,0
as.factor(year)2014,-0.186537935312166,0.829827081604857,0.00343271676265127,0.00338659990589691,-55.0811848152941,0
as.factor(year)2015,-0.159500459389221,0.85256957573506,0.00338300608007501,0.0033371384442953,-47.7955775739184,0
as.factor(year)2016,-0.267059061017202,0.765627851370315,0.00343111335420956,0.00338586288800592,-78.8747417868667,0
as.factor(region)NORTHEAST,0.0242331027012183,1.02452911056108,0.00176059011943613,0.00175064928412684,13.8423514755012,1.41500788996292e-43
as.factor(region)SOUTH,-0.0389444291713799,0.961804155915227,0.00202370763478553,0.00200201200928167,-19.4526451344082,2.76778291003849e-84
as.factor(region)WEST,-0.206261174124886,0.813620551895563,0.00333231885682126,0.00330994952299551,-62.3155044183935,0
get(pollutants_i):as.factor(race_collapsed)Hispanic,0.000800280055388278,1.00080060036491,0.000509935551961737,0.000502493122121964,1.59261892383481,0.111245705629671
get(pollutants_i):as.factor(race_collapsed)Others,0.00499356319024504,1.00500605180582,0.000576621548055877,0.000572725972764998,8.71893964601813,2.80819198202704e-18
get(pollutants_i):as.factor(race_collapsed)White,0.000512971053583816,1.00051310264573,0.000295990043259528,0.000294404128303446,1.74240441715237,0.0814377035459168
