rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0207487853137415,1.02096553788159,0.000600275971196127,0.000593063052778828,34.9857999356425,3.69935104484962e-268
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.0150916512628764,1.01520610527364,0.000679874446729538,0.000672814866345843,22.4306150439888,1.97882613438438e-111
smoke_rate,0.207890546997588,1.23107841694552,0.00883374889929461,0.0087436620454935,23.7761416115957,5.89701610716731e-125
hispanic,0.0470443967867067,1.04816854336191,0.00450032672007839,0.00446840585752248,10.5282282511353,6.40282434949723e-26
pct_blk,0.130248678064458,1.13911162017867,0.00366481953257094,0.00362936968120048,35.887410075398,4.80156746338676e-282
medhouseholdincome,9.25309601912638e-07,1.00000092531003,5.37918526581973e-08,5.34605826023872e-08,17.3082588492277,4.0755400259881e-67
medianhousevalue,9.58249695167505e-08,1.00000009582497,7.35557533685328e-09,7.30684658960811e-09,13.1144082938643,2.72299165496864e-39
poverty,-0.0673586704763789,0.934859834575079,0.0120666350008217,0.012032809448296,-5.59791715856664,2.1694236559223e-08
education,0.313324446628295,1.36796529076175,0.00635850256889803,0.00630818422883223,49.6695142789603,0
popdensity,5.9386560314247e-07,1.00000059386578,7.17110154616082e-08,7.33016098876437e-08,8.10167203766389,5.42089174330552e-16
pct_owner_occ,0.0148427019277249,1.01495340184517,0.00522933666073899,0.00519255485537081,2.85845837764673,0.0042570495288451
summer_tmmx,-0.00624834524597616,0.993771135068819,0.000335366915801102,0.000332255995661163,-18.8058163812588,6.76723129971283e-79
winter_tmmx,0.0122567978410035,1.01233222021827,0.000173655674667652,0.000172347313879831,71.1168486765598,0
summer_rmax,-0.00186962149558298,0.998132125157989,0.000105254587417623,0.000104756142004986,-17.8473687537481,3.02978989716498e-71
winter_rmax,-0.000731837672502518,0.999268430055372,9.81434677872151e-05,9.68332378447237e-05,-7.55771147171647,4.10222748072465e-14
as.factor(year)2002,-0.0389762673411893,0.961773534318658,0.00300940191280492,0.00295768145992571,-13.1779800730023,1.17494676539509e-39
as.factor(year)2003,0.000687248303406362,1.00068748451263,0.00294715188693076,0.00289551511261795,0.237349237243315,0.812385867375022
as.factor(year)2004,-0.0269009658162125,0.973457642333831,0.00301722305046632,0.00296370922588651,-9.07678984876319,1.118242383409e-19
as.factor(year)2005,-0.0307233251592233,0.969743839685443,0.00296976541215199,0.00291745002798907,-10.5308830877903,6.22477421548513e-26
as.factor(year)2006,-0.0527775799786969,0.948590974645113,0.00311150263785781,0.00306003040897762,-17.2474037590791,1.17041816269839e-66
as.factor(year)2007,-0.0701142357609138,0.932287313272009,0.00321773527966061,0.00316710675837087,-22.1382609145073,1.35359372245395e-108
as.factor(year)2008,-0.0742956722630541,0.928397151969143,0.00324841832214106,0.00319866652495995,-23.2270765593435,2.42571956776336e-119
as.factor(year)2009,-0.0828254108440282,0.920511844577715,0.00337303724318638,0.00332148724438077,-24.9362423366673,3.01123837061698e-137
as.factor(year)2010,-0.0220322137969065,0.978208722726521,0.00335700205996482,0.00330797555572726,-6.66033150056418,2.73210636613148e-11
as.factor(year)2011,-0.0399641890264881,0.960823846573557,0.00339543751530783,0.0033476388371296,-11.9380228784641,7.49844283204306e-33
as.factor(year)2012,-0.0983579977806628,0.906324383550759,0.00344579899268459,0.00339596523548104,-28.9631933663568,1.91432750266109e-184
as.factor(year)2013,-0.122320419544255,0.88486479509945,0.00350513658224544,0.00345719598601403,-35.3813958014236,3.30011173337317e-274
as.factor(year)2014,-0.117984378110576,0.888709935834524,0.00354780000319535,0.0035018407053636,-33.6921031073357,7.54472332386264e-249
as.factor(year)2015,-0.0736704447977444,0.928977792864672,0.00356370560427745,0.00351600145323136,-20.952905104757,1.76527104775556e-97
as.factor(year)2016,-0.165337643693879,0.847607466451537,0.00368520694615039,0.00363916719391848,-45.432824292926,0
as.factor(region)NORTHEAST,0.0569072640871302,1.05855763953456,0.00180414700980975,0.00179532442171229,31.697482303981,1.68288034742074e-220
as.factor(region)SOUTH,-0.00692822673827831,0.993095718094269,0.00205751437796446,0.00203444688379052,-3.40545963302313,0.000660527779466905
as.factor(region)WEST,-0.174232990929203,0.840101138909331,0.00322389798144981,0.00319780771475494,-54.4851368408671,0
get(pollutants_i):as.factor(race_collapsed)Hispanic,0.004034786026319,1.00404293673389,0.00129226351835493,0.0012591564231646,3.2043564660366,0.00135364766260686
get(pollutants_i):as.factor(race_collapsed)Others,-0.00749145484550254,0.992536536160947,0.00123854850567471,0.00121698307523231,-6.15575926893848,7.47186482053112e-10
get(pollutants_i):as.factor(race_collapsed)White,5.85034401379724e-05,1.0000585051515,0.000597891155586158,0.000589831962390865,0.0991866224082375,0.920990096251379
