rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00798595154137677,1.0080179243067,0.000106464194025605,0.000105081269669453,75.9978592426379,0
as.factor(sex)2,,,0,0,,
mean_bmi,0.0260405531392456,1.02638257066479,0.000679723139602673,0.000673508211921735,38.6640469682524,0
smoke_rate,0.146887677473195,1.15822386109262,0.00878731107485326,0.00870697416904618,16.8701175197452,7.4647715041987e-64
hispanic,-0.0435236792472327,0.957409883077227,0.00454918597271039,0.00451942670916762,-9.6303540356004,5.95240389413051e-22
pct_blk,0.0662889027699676,1.0685353754075,0.00373676488885078,0.00370055719352793,17.9132220644781,9.29932106109816e-72
medhouseholdincome,5.49472912485767e-07,1.00000054947306,5.44310006780527e-08,5.40894216114403e-08,10.1586021095398,3.03395084899145e-24
medianhousevalue,8.75787010044256e-08,1.0000000875787,7.38699861772228e-09,7.34072717403708e-09,11.9305211769996,8.20581275180494e-33
poverty,-0.0830051554221918,0.920346402433627,0.0120032414264598,0.0119751671494714,-6.93144023679499,4.16577439364192e-12
education,0.405777554302926,1.50046874251674,0.00623299639480489,0.00618685821406089,65.5870136769441,0
popdensity,-4.06807985439279e-07,0.999999593192097,7.44231694962907e-08,7.58172950621556e-08,-5.36563570496382,8.06646045581392e-08
pct_owner_occ,0.0356666177875948,1.0363103014738,0.00523836909540259,0.00519920952484141,6.86000777948696,6.88567981068126e-12
summer_tmmx,0.000911843447677561,1.0009122593033,0.000331885287736038,0.000328571869518628,2.77517198600553,0.00551725228005595
winter_tmmx,0.00947478688089786,1.00951981477165,0.000172068316731326,0.000170644422224393,55.5235662402065,0
summer_rmax,0.00162770658524011,1.00162903201865,0.000102455059482496,0.000101957254516134,15.9645980363519,2.2548968674757e-57
winter_rmax,-0.000438902078096476,0.999561194225331,9.82529620259332e-05,9.68229270281729e-05,-4.5330387292337,5.81411496492285e-06
as.factor(year)2002,-0.0279628031101194,0.972424537296959,0.0030150355407873,0.00296354951239236,-9.43557817852892,3.88843751770893e-21
as.factor(year)2003,0.000650931877287602,1.00065114377942,0.00294485092176898,0.0028930781406073,0.224996300013854,0.821982152636793
as.factor(year)2004,-0.0123718815304555,0.987704335555803,0.00303117193665742,0.00297797315380735,-4.15446375486562,3.26051293517362e-05
as.factor(year)2005,-0.00883706982177803,0.991201862313336,0.00298891168287406,0.00293596142213648,-3.00994071487062,0.00261298687251423
as.factor(year)2006,-0.0247582089606057,0.975545761737718,0.00315185317476473,0.00310015755294172,-7.98611313709293,1.39259888293107e-15
as.factor(year)2007,-0.0185706565874879,0.981600715584646,0.00331112618986509,0.00325920694267274,-5.69790655031523,1.21287497604436e-08
as.factor(year)2008,-0.0490188675618478,0.95216316453163,0.00328617620476133,0.00323640229860459,-15.1460983645274,8.04000802633224e-52
as.factor(year)2009,-0.0634036666223878,0.938564530037094,0.00339535445484402,0.00334406373545126,-18.9600652494238,3.64691402810342e-80
as.factor(year)2010,-0.0192605188940393,0.980923779773977,0.00333098857993965,0.00328051308149229,-5.87119100445035,4.32675421208168e-09
as.factor(year)2011,-0.0499915460672758,0.951237466164266,0.00333243093882803,0.00328328810414161,-15.226061339002,2.37473325020888e-52
as.factor(year)2012,-0.0954259431478903,0.908985675778865,0.00340946612147724,0.00335951796205284,-28.4046533537746,1.77148015169358e-177
as.factor(year)2013,-0.121318606322114,0.885751708537614,0.00345267022855217,0.00340391469071066,-35.6409068221348,3.25914604995193e-278
as.factor(year)2014,-0.0996400983689646,0.90516312910699,0.00355872627340255,0.00351085994862803,-28.3805391918017,3.51600824175009e-177
as.factor(year)2015,-0.0809097839612752,0.922276891859337,0.00348132167571075,0.00343404010042115,-23.5611063340095,9.65927483146977e-123
as.factor(year)2016,-0.169855372888152,0.843786842226071,0.00359023298943217,0.00354236267309583,-47.9497410522644,0
as.factor(region)NORTHEAST,0.0420104043764712,1.04290532947399,0.00177062176628641,0.00176008212609247,23.8684341791129,6.5178904736551e-126
as.factor(region)SOUTH,0.0128933087300301,1.0129767858145,0.00209126182960578,0.00207025106896353,6.22789618289396,4.7274014127637e-10
as.factor(region)WEST,-0.136206813196646,0.87266213577892,0.00323058314290609,0.00320674131596559,-42.4751483752384,0
get(pollutants_i):as.factor(sex)2,-0.000740289084061132,0.999259984862299,0.000106448565725902,0.000104870389769181,-7.05908584578073,1.67601512561281e-12
