rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0114957949541978,1.01156212553559,0.000259824766772632,0.00025722141759366,44.6922152196441,0
as.factor(sex)2,,,0,0,,
mean_bmi,0.0231793858199408,1.0234501155194,0.00067762555626153,0.000671047310685131,34.5421037397124,1.87280478878804e-261
smoke_rate,0.133130075794852,1.14239858707104,0.00876422666300666,0.00867834577546037,15.3404899089527,4.10088335763118e-53
hispanic,0.0145885041144776,1.01469543569847,0.00449247804351572,0.00446020975175233,3.270811223339,0.00107239470109157
pct_blk,0.123609401415111,1.13157379354493,0.0036634435221839,0.00362869088453375,34.0644616332465,2.47919644646697e-254
medhouseholdincome,1.24879858208254e-06,1.00000124879936,5.34081742489349e-08,5.31147460312632e-08,23.5113349002459,3.12324347336059e-122
medianhousevalue,7.58750611508545e-08,1.00000007587506,7.35825641653215e-09,7.31552518978501e-09,10.3717859186381,3.33237738499572e-25
poverty,-0.115586160432598,0.890843813441997,0.0120233996107323,0.0119925678679827,-9.6381493692594,5.51736495735836e-22
education,0.400806763261435,1.49302873262012,0.00623459239882271,0.00618812009195935,64.7703595446105,0
popdensity,9.66532027486405e-07,1.00000096653249,7.13420355908363e-08,7.32019953879087e-08,13.2036295235479,8.36075118199752e-40
pct_owner_occ,-0.0291227803631048,0.971297200922132,0.00516261699130676,0.00512904363076204,-5.67801377013787,1.36267747554163e-08
summer_tmmx,-0.00463211543171086,0.995378596269315,0.000333639182588645,0.000330336791673278,-14.0224024343382,1.13699503027957e-44
winter_tmmx,0.011388683834554,1.01145378178624,0.000172086037103158,0.000170744075380735,66.7003163018035,0
summer_rmax,0.000777728538268306,1.00077803104753,0.00010155662675151,0.000101024424782651,7.69842085160645,1.37758018940144e-14
winter_rmax,-0.000445750246113157,0.999554349085768,0.000101328764278027,9.98116416499839e-05,-4.46591438377798,7.97274913040378e-06
as.factor(year)2002,-0.0387731244124799,0.961968931657296,0.00301206590024041,0.00296097780209936,-13.0947028326215,3.53053404953444e-39
as.factor(year)2003,0.000171142635464114,1.0001711572812,0.00295223008544908,0.00290072179931481,0.059000016997335,0.95295209457507
as.factor(year)2004,-0.021895375820187,0.978342587987665,0.00304360299208284,0.00299032559838343,-7.32207082466995,2.44173215051872e-13
as.factor(year)2005,-0.0246038629271742,0.975696344977137,0.0029825044654442,0.00293021639582183,-8.3966027090206,4.59581742758379e-17
as.factor(year)2006,-0.0547720672999095,0.946700907457241,0.00312501673636927,0.00307429778806379,-17.8161229249055,5.29838661300458e-71
as.factor(year)2007,-0.0577168568930837,0.943917173244545,0.00326852536712789,0.00321777907140485,-17.9368612985245,6.07934183228565e-72
as.factor(year)2008,-0.0830299098320363,0.920323620083565,0.00325615543062451,0.00320754901202756,-25.8857805510356,9.62924085942029e-148
as.factor(year)2009,-0.094064133281551,0.910224384692077,0.0033969336469829,0.00334651367069825,-28.1080977212696,7.79994456073e-174
as.factor(year)2010,-0.0564991684290469,0.945067270385311,0.00329202204305787,0.00324219322128268,-17.4262187886183,5.2184587637195e-68
as.factor(year)2011,-0.077451869101438,0.925471567102806,0.00331871608246184,0.00327059409173124,-23.6812844789431,5.62197240461075e-124
as.factor(year)2012,-0.136908121434027,0.872050345186613,0.0033643596086609,0.00331601730359787,-41.2869140596711,0
as.factor(year)2013,-0.163339118478368,0.849303125190082,0.00341506652724219,0.00336727120399253,-48.5078595049603,0
as.factor(year)2014,-0.147731966156791,0.862662306650504,0.00350017328762609,0.00345394834185051,-42.7719095757063,0
as.factor(year)2015,-0.125421917750825,0.882124640013963,0.00343037222548058,0.00338440303664834,-37.058800737584,1.29582532405055e-300
as.factor(year)2016,-0.226568518685084,0.797264712911649,0.00350597894336556,0.00346117137126794,-65.4600695492533,0
as.factor(region)NORTHEAST,0.0301434533808809,1.03060236674356,0.00176253837083153,0.00175227784832201,17.2024393333206,2.54584576196307e-66
as.factor(region)SOUTH,-0.0259759286938108,0.974358543409303,0.00202636076417021,0.00200432006072378,-12.9599704173148,2.06327085169627e-38
as.factor(region)WEST,-0.19508498025964,0.822764736324161,0.00320273327842177,0.00317850847789503,-61.3762655082913,0
get(pollutants_i):as.factor(sex)2,-0.000788288632746862,0.999212021985113,0.000278514806309326,0.000276053341625812,-2.8555663485334,0.00429601457423157
