rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0218623175374032,1.02210304911744,0.000354206097177725,0.000349600770544739,62.5350953984968,0
as.factor(sex)2,,,0,0,,
mean_bmi,0.0151025460792192,1.01521716581795,0.000679487888454239,0.00067242362908583,22.4598681931379,1.02491698403578e-111
smoke_rate,0.207809531415893,1.23097868445146,0.00882724225811266,0.0087369936659227,23.7850156886828,4.77332885007082e-125
hispanic,0.0456361439498142,1.04669349590084,0.00449711666910476,0.00446549528538574,10.2197272717246,1.61795442360458e-24
pct_blk,0.130213379503581,1.13907141188746,0.00365388218577122,0.00361809708104649,35.9894653423503,1.22260681417735e-283
medhouseholdincome,9.30281347434321e-07,1.00000093028178,5.37801823186514e-08,5.34503859494434e-08,17.4045768035097,7.61667948867181e-68
medianhousevalue,9.57479675809087e-08,1.00000009574797,7.35254945575551e-09,7.30405224792739e-09,13.10888316935,2.92879550883737e-39
poverty,-0.0670327350704995,0.935164588156995,0.0120596903233816,0.0120277732533257,-5.57316251800512,2.5015600224404e-08
education,0.31421022473977,1.36917754128679,0.00635666343837745,0.00630655539380678,49.8227962999158,0
popdensity,5.9860204657466e-07,1.00000059860223,7.16506575111966e-08,7.32444573770341e-08,8.17265999382436,3.01663249983411e-16
pct_owner_occ,0.0147011850490182,1.01480977897047,0.0052284320695683,0.00519170411933625,2.8316685063512,0.00463058274953838
summer_tmmx,-0.00622120626116507,0.993798105374531,0.000335131293738694,0.000331989133326396,-18.739186427071,2.37227006722893e-78
winter_tmmx,0.01222454955621,1.01229957476691,0.000173583867767239,0.000172274194749761,70.9598415129262,0
summer_rmax,-0.0018829522526614,0.998118819389784,0.000105128029782734,0.000104625446474159,-17.9970773470148,2.05374612504647e-72
winter_rmax,-0.000718861458397963,0.999281396860598,9.8088993621213e-05,9.67844964412961e-05,-7.4274443204236,1.10715963077794e-13
as.factor(year)2002,-0.0389781931396133,0.961771682138485,0.00300920960036887,0.0029574642373963,-13.1795991467099,1.15000228565232e-39
as.factor(year)2003,0.000657992204663943,1.00065820872902,0.00294686759283298,0.00289521986037384,0.227268475762314,0.820214984457359
as.factor(year)2004,-0.0269565818599575,0.973403503976505,0.0030167741141754,0.00296321572183522,-9.097070341967,9.28012518989402e-20
as.factor(year)2005,-0.0306970123657377,0.969769356690541,0.00296968080244638,0.00291734982307326,-10.5222253851615,6.82424146576804e-26
as.factor(year)2006,-0.0528397079739164,0.948532042420264,0.00311068528661503,0.00305917441324314,-17.2725385467314,7.57364033027749e-67
as.factor(year)2007,-0.0701206631822507,0.932281321087897,0.00321702134514054,0.00316631163263021,-22.1458502251096,1.14382597749277e-108
as.factor(year)2008,-0.0745138771864195,0.928194593240205,0.00324611371849258,0.00319618077014085,-23.3134113947929,3.24133115522216e-120
as.factor(year)2009,-0.0830896519667829,0.920268639628185,0.0033698656138099,0.0033179784914832,-25.0422515335958,2.12042764337692e-138
as.factor(year)2010,-0.0222955274305792,0.977951180941869,0.00335548093083807,0.00330631665137698,-6.74331281043326,1.54815397180168e-11
as.factor(year)2011,-0.0402487387217371,0.960550483335384,0.00339391468142335,0.00334606348618297,-12.0286835225745,2.51133165543581e-33
as.factor(year)2012,-0.0985897959369978,0.906114323576308,0.00344292952253664,0.00339290447962129,-29.0576397093272,1.23216873695776e-185
as.factor(year)2013,-0.122501624067472,0.884704468122568,0.00350183497548605,0.00345360865450444,-35.4706153251316,1.39561558448695e-275
as.factor(year)2014,-0.118192498244695,0.888524996648936,0.00354368075517166,0.00349743805975564,-33.7940218598048,2.41419892975868e-250
as.factor(year)2015,-0.0737604831036547,0.928894153043425,0.00356022069695618,0.00351227365052154,-21.0007791086272,6.45188247317803e-98
as.factor(year)2016,-0.165189198250125,0.847733299257446,0.00368160909939334,0.00363535511146311,-45.439631943863,0
as.factor(region)NORTHEAST,0.0569936704496294,1.05864910960143,0.00180343554110229,0.00179452256077551,31.7597960011153,2.32565803467167e-221
as.factor(region)SOUTH,-0.00662910007455765,0.993392823937102,0.00205717245677545,0.0020341768462442,-3.25886123755527,0.00111860365935058
as.factor(region)WEST,-0.173950422016323,0.840338558917039,0.00321316482639574,0.00318732141912204,-54.5757390430485,0
get(pollutants_i):as.factor(sex)2,-0.00182671933407537,0.99817494810222,0.00037247683070572,0.00036677899446396,-4.98043607089628,6.34411575509588e-07
