rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.000947946422080713,1.0009483958653,0.0011434946291697,0.00113561617478366,0.834741916441353,0.40386303551534
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,-0.00452721455211701,0.995483017836453,0.00146916020370373,0.00145291050872364,-3.11596242503201,0.00183345632973143
smoke_rate,0.119333700791549,1.12674585154279,0.0190643507165881,0.0188162081745226,6.34206954369947,2.2669893278266e-10
hispanic,-0.121004444682674,0.886030021461839,0.00936689436067229,0.00934991692246752,-12.9417668291688,2.61544459635959e-38
pct_blk,0.0067251820398447,1.00674784685643,0.0078112471736637,0.0077361596778536,0.869317894135117,0.384673278062887
medhouseholdincome,7.0434504511551e-07,1.00000070434529,1.31294958779783e-07,1.29852319479679e-07,5.42420072231157,5.82144366357158e-08
medianhousevalue,-3.73053067124288e-07,0.999999626947002,1.83771065142614e-08,1.83357709367037e-08,-20.3456439553097,5.07412975029088e-92
poverty,-0.268027367675365,0.764886847641478,0.0250917398816052,0.0249633395256661,-10.7368394120423,6.8344164791789e-27
education,-0.110955062268926,0.894978966349491,0.013867543732361,0.0137067678203612,-8.09491075672149,5.73063499417429e-16
popdensity,-1.52336469233103e-06,0.999998476636468,1.92402849113374e-07,1.92157788460892e-07,-7.92767602360839,2.23284899481135e-15
pct_owner_occ,-0.0314609978496084,0.96902874992176,0.0116759425994804,0.0115184904097015,-2.73134731467156,0.00630759604536917
summer_tmmx,-0.00292601548960705,0.997078261121555,0.000701091030328399,0.000693483995738179,-4.21929778854154,2.45064409184655e-05
winter_tmmx,0.00329289778699948,1.00329832533073,0.000366367045321822,0.00036127742999389,9.11459591332669,7.89641851471477e-20
summer_rmax,-0.00274472917308673,0.99725903415214,0.000223776948216835,0.000221234220349654,-12.4064404175302,2.41136905244507e-35
winter_rmax,0.00163470353702051,1.0016360403932,0.000205941871090318,0.000204579838761155,7.99054074399292,1.34348155274884e-15
as.factor(year)2002,-0.0450553814857562,0.955944538738224,0.0064808262495188,0.00645454422071958,-6.98041255045166,2.94314514667279e-12
as.factor(year)2003,-0.0526888625283115,0.94867513495103,0.00636970147297822,0.00633633559673731,-8.31535226060973,9.14801398510853e-17
as.factor(year)2004,-0.120024362260444,0.886898829593686,0.0065480824927382,0.00651181290892625,-18.4317891098986,7.30275607900645e-76
as.factor(year)2005,-0.112188224886907,0.893875991957478,0.00651525050764649,0.00647374091919207,-17.3297365908348,2.80610755084254e-67
as.factor(year)2006,-0.154715450233293,0.856658904897216,0.00682084166118065,0.00677351630543823,-22.8412309436794,1.78622404839683e-115
as.factor(year)2007,-0.170159876793006,0.843529944952844,0.00708308662357209,0.00702996745571745,-24.2049309424066,1.97405281217272e-129
as.factor(year)2008,-0.165419852436692,0.847537788571426,0.00712349695365543,0.00706683646900728,-23.4079072244231,3.55037740088956e-121
as.factor(year)2009,-0.222182698288572,0.800769051834233,0.00742195271318927,0.00736579677083069,-30.1641092201238,7.00578259357268e-200
as.factor(year)2010,-0.199809621980926,0.818886636254802,0.00739765440473975,0.00733645021357462,-27.2351908844441,2.48908205694217e-163
as.factor(year)2011,-0.180141936751926,0.83515166428378,0.00744178932202738,0.00738282812805771,-24.4001260258673,1.70492283176568e-131
as.factor(year)2012,-0.201165571580516,0.817777019710329,0.00750711115769945,0.00744640378613671,-27.0151307071253,9.81588909091458e-161
as.factor(year)2013,-0.194144856679639,0.823538600560584,0.00759353547538155,0.00753025479340557,-25.7819771051647,1.41239382743117e-146
as.factor(year)2014,-0.214732531964419,0.806757193084163,0.00769833959886534,0.00763181377117122,-28.1365004968491,3.50558650487447e-174
as.factor(year)2015,-0.161181405040277,0.851137656440928,0.00770413571374925,0.00763029635539975,-21.1238721974689,4.79950181305111e-99
as.factor(year)2016,-0.17316919889974,0.840995307325139,0.00790171478309243,0.00783241181977131,-22.1093071820624,2.57186834641624e-108
as.factor(region)NORTHEAST,-0.0772640748407477,0.925645381671719,0.00449528418990297,0.00442168925539699,-17.4738816723589,2.2654392014407e-68
as.factor(region)SOUTH,0.0241780565317451,1.0244727157102,0.00455686092415057,0.00446877564548339,5.41044313920347,6.28689830670077e-08
as.factor(region)WEST,0.0247355888671969,1.02504405163033,0.00665998330144698,0.00658798689472275,3.75465058787702,0.000173583459367737
get(pollutants_i):as.factor(race_collapsed)Hispanic,-0.00336584151699921,0.996639816577696,0.00221055180840827,0.00219236628116921,-1.53525510126172,0.124721178211006
get(pollutants_i):as.factor(race_collapsed)Others,-0.00822996843953202,0.991803805035672,0.00211615101008963,0.00210999110535134,-3.9004754184315,9.60039741014047e-05
get(pollutants_i):as.factor(race_collapsed)White,-0.000469183929647402,0.999530926119921,0.00115049590106992,0.00114274679091272,-0.41057558277863,0.681383770967585
