rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00348673380742591,1.0034928195348,0.000967576362015723,0.000966268802128289,3.60845118847476,0.000308030453083689
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.00327743630776385,1.00328281297443,0.00079758591357465,0.000792886946149026,4.13354807224667,3.57205538920646e-05
smoke_rate,0.0467092642069189,1.04781732678927,0.0102585687865195,0.0101945998671774,4.58176532826015,4.61067130179618e-06
hispanic,-0.0210869179606522,0.979133856552789,0.005632846993474,0.00565476189742909,-3.72905497050888,0.000192199224767065
pct_blk,-0.00982651365239252,0.990221608778655,0.00459135061638185,0.0045883825390002,-2.14160732433911,0.0322250938544963
medhouseholdincome,6.30437789135453e-07,1.00000063043799,5.87276980037567e-08,5.76687882641589e-08,10.9320450127659,8.10020582788389e-28
medianhousevalue,-2.07203969804852e-07,0.999999792796052,8.09461932599425e-09,7.97904181084085e-09,-25.9685278905709,1.12324211544808e-148
poverty,-0.0612396292763091,0.940597817993835,0.0149946410471045,0.014879200113641,-4.11578773110024,3.85859301378138e-05
education,0.106642621601171,1.11253658688059,0.00760666948954293,0.00754583077156636,14.1326548168842,2.38962904747903e-45
popdensity,-8.62169495425198e-07,0.999999137830876,8.67571010831463e-08,8.55897267210644e-08,-10.0732824890889,7.25166384829378e-24
pct_owner_occ,-0.00659655557810986,0.993425153932411,0.00607144239388789,0.00599406407713779,-1.10051469140446,0.271107932086441
summer_tmmx,0.00201006781294844,1.00201208935351,0.000390025853055429,0.000387881801985671,5.18216581097222,2.19324102923278e-07
winter_tmmx,-0.00202196305442938,0.99798007973582,0.000200680107912106,0.00020007700014855,-10.1059244837145,5.20027541582675e-24
summer_rmax,-0.00100936774744326,0.99899114149283,0.000119223948338544,0.000118823185581064,-8.4947036431256,1.98438582537905e-17
winter_rmax,0.000685929219707923,1.00068616452295,0.000114214364081899,0.000113909334049189,6.02171214004046,1.7258163148157e-09
as.factor(year)2002,-0.00584954859294119,0.994167526705943,0.004510381626926,0.00448831680731248,-1.30328335633772,0.192478041122689
as.factor(year)2003,-0.0561840576206023,0.945365118221988,0.00435291054058957,0.00432867224449897,-12.9795129885389,1.59894020403079e-38
as.factor(year)2004,-0.110100476339524,0.895744129683586,0.0043727798170241,0.00435057118569731,-25.3071313259932,2.66610126768294e-141
as.factor(year)2005,-0.114409858148449,0.891892331620831,0.00426565081799035,0.00424217972702208,-26.9695924054501,3.36115982635769e-160
as.factor(year)2006,-0.148963218488669,0.861600805295927,0.00437504995110395,0.00434948006469878,-34.2485116089354,4.58967856372988e-257
as.factor(year)2007,-0.164289240625995,0.848496566706005,0.00444022471713175,0.00441360606794225,-37.22335842777,2.85944800746737e-303
as.factor(year)2008,-0.145930286984242,0.864217948324134,0.00443135556582128,0.00440373106184969,-33.1378744375336,8.46778941458773e-241
as.factor(year)2009,-0.194038011001359,0.823626596801876,0.00455111640126996,0.00452436182771936,-42.8873769141426,0
as.factor(year)2010,-0.185522899201018,0.830669813688088,0.00452275104138414,0.00449174944429372,-41.3030382709134,0
as.factor(year)2011,-0.173391018050245,0.840808779149015,0.00454733904786599,0.00451473948406121,-38.4055422604965,1.11253692925361e-308
as.factor(year)2012,-0.169148826537779,0.844383227402013,0.00460078814536156,0.00456977414094335,-37.0147016725123,6.64339324475557e-300
as.factor(year)2013,-0.148722401882758,0.861808318062766,0.00461799262376079,0.00458660093959757,-32.4254069279912,1.20367776935752e-230
as.factor(year)2014,-0.16737392703873,0.845883253573394,0.00464751832546162,0.0046178053557844,-36.245340403764,1.17669452834533e-287
as.factor(year)2015,-0.127624465911795,0.880183856129938,0.00466154996718098,0.00462819045874147,-27.5754567685834,2.19191207903252e-167
as.factor(year)2016,-0.135325203602255,0.873431822322153,0.00478791289258585,0.00475532228778063,-28.4576302956351,3.9210004028842e-178
as.factor(region)NORTHEAST,0.0367714898317174,1.03745592452183,0.00193647740585722,0.00191354470942918,19.216425751916,2.69721987728754e-82
as.factor(region)SOUTH,0.0412753055123636,1.04213897265944,0.00231076928292628,0.00230006012143563,17.9453159192207,5.22128207456526e-72
as.factor(region)WEST,0.0511449375949467,1.05247542548602,0.00369543687887314,0.00368988429902563,13.860851303238,1.0936939005588e-43
get(pollutants_i):as.factor(race_collapsed)Hispanic,0.00195044659443228,1.00195234995266,0.00284090412926968,0.00283694177256303,0.687517316462283,0.491756792370764
get(pollutants_i):as.factor(race_collapsed)Others,0.000514047328923666,1.00051417947389,0.00225493963986035,0.00228733192960385,0.22473665595736,0.822184146609284
get(pollutants_i):as.factor(race_collapsed)White,-0.00182709373792046,0.998174574381751,0.000961431731740467,0.00096040167610492,-1.90242664437088,0.0571154004537734
