rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00212403677525541,1.00212629413933,0.000157336856560708,0.000156096216410039,13.6072277990128,3.62744113210809e-42
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.0024946825917511,1.00249779690157,0.000633930304452692,0.000628943404124581,3.9664659417542,7.29461937076172e-05
smoke_rate,0.0683178678179634,1.07070559724436,0.00815320277299172,0.00808024515110389,8.45492513412543,2.79266473977784e-17
hispanic,-0.0767904514015372,0.926083892857266,0.00431464139524145,0.00431661451549134,-17.7895086823143,8.52238710262811e-71
pct_blk,-0.00877304040200221,0.991265330425352,0.00358783322510773,0.00356494916310035,-2.46091599083912,0.013858281159937
medhouseholdincome,5.52854320141679e-07,1.00000055285447,4.97366851883095e-08,4.88686275356008e-08,11.3130723742737,1.13059928709635e-29
medianhousevalue,-2.50387205673793e-07,0.999999749612826,6.82494899802599e-09,6.73401072590036e-09,-37.1824780009265,1.30998010910166e-302
poverty,-0.173683559970546,0.840562843309182,0.0113125765196226,0.0111983662861761,-15.5097230731728,2.98162028636725e-54
education,0.0487642044303411,1.04997274262775,0.00593317427625474,0.00587203432430976,8.30448218404671,1.00255709578949e-16
popdensity,-1.21082892798125e-06,0.999998789171805,7.469611757897e-08,7.36501278297796e-08,-16.440282775608,9.84584604679688e-61
pct_owner_occ,-0.00583945453046912,0.994177561945713,0.0048933716821807,0.0048242620351024,-1.21043477488991,0.226112104813504
summer_tmmx,0.00144211540819989,1.00144315575667,0.000305153369443474,0.000302894540610211,4.76111390220045,1.92527342886278e-06
winter_tmmx,-0.000284263834163172,0.999715776564972,0.000158956612514083,0.000157929902522701,-1.7999367416966,0.0718706273006716
summer_rmax,-0.000939992910597701,0.999060448744343,9.40232951374819e-05,9.34969859557813e-05,-10.0537242028557,8.84597623232367e-24
winter_rmax,0.000966721359716868,1.00096718878542,9.09848925467685e-05,9.04704688718983e-05,10.6854907658951,1.19017889427278e-26
as.factor(year)2002,-0.0165593077827264,0.983577043887201,0.00363268686674573,0.00361465114460589,-4.58116347062639,4.62396216915913e-06
as.factor(year)2003,-0.0518539331443409,0.949467542453164,0.00349945115179547,0.00347985851921944,-14.9011613138721,3.2390041140667e-50
as.factor(year)2004,-0.108196423515089,0.897451298577792,0.00352354357837803,0.00350388327468666,-30.8790033893937,2.2863243782819e-209
as.factor(year)2005,-0.106412058461723,0.89905410888615,0.00345331640465266,0.00343298898411097,-30.9969122983597,5.93253471520654e-211
as.factor(year)2006,-0.142886627032886,0.866852340946629,0.00355412100979723,0.00353073931751341,-40.4693221966658,0
as.factor(year)2007,-0.156705802310523,0.854955547768896,0.00365678693073045,0.00363061101266553,-43.1623772868668,0
as.factor(year)2008,-0.142860181580059,0.866875265552445,0.0036081744854834,0.00358179333726384,-39.8850989234323,0
as.factor(year)2009,-0.19592412521599,0.822074607045162,0.0036938095797724,0.00366674147169309,-53.4327622300363,0
as.factor(year)2010,-0.187058908698458,0.829394876373603,0.00363693573252902,0.00360913926351961,-51.8292299189474,0
as.factor(year)2011,-0.174673682110825,0.839730995311244,0.00362331564683871,0.00359542845275224,-48.5821604869138,0
as.factor(year)2012,-0.177728454402753,0.837169722378626,0.00367785753031851,0.00364922120894341,-48.7031188921025,0
as.factor(year)2013,-0.161971649914552,0.850465314962815,0.003688815417642,0.00365853414441826,-44.2722805147707,0
as.factor(year)2014,-0.181644895165238,0.833897408846535,0.0037664177361512,0.00373681002323151,-48.6096146274397,0
as.factor(year)2015,-0.140419640168304,0.868993494297948,0.00370058348638783,0.00367003889713984,-38.2610768179423,1.11253692925496e-308
as.factor(year)2016,-0.154155809225993,0.857138460526646,0.00378247378345721,0.00375262551017439,-41.0794545866714,0
as.factor(region)NORTHEAST,0.01014235317632,1.01019396116822,0.00161475630291705,0.00159359668187911,6.36444170074483,1.96001349004204e-10
as.factor(region)SOUTH,0.0383482997828003,1.03909308575428,0.00191546510981054,0.00189646125748589,20.2209771654593,6.40028119100507e-91
as.factor(region)WEST,0.0446807978534964,1.04569401885476,0.00295864942409445,0.00294136382719372,15.1905036161831,4.08767057219289e-52
get(pollutants_i):as.factor(race_collapsed)Hispanic,-0.0027663099493039,0.997237512760318,0.000354514118721652,0.000350062667419057,-7.90232780233139,2.73742364407375e-15
get(pollutants_i):as.factor(race_collapsed)Others,-0.00435298334235062,0.995656477157528,0.000363876023970789,0.000360527065557512,-12.0739432852822,1.45015144853929e-33
get(pollutants_i):as.factor(race_collapsed)White,-0.0012914163998415,0.998709417119472,0.000151916772610996,0.000150957929101183,-8.55480998931766,1.18063041989505e-17
