rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00234609730455144,1.00234885154432,0.000347633625356267,0.000343278830222929,6.8343780565433,8.23615602446361e-12
as.factor(sex)2,,,0,0,,
mean_bmi,0.00117826836042713,1.00117896279131,0.000646987788510777,0.000642393887951476,1.83418364110607,0.0666267389163517
smoke_rate,0.0748431234360037,1.07771506938546,0.00835140582640224,0.00827964907295078,9.03940768220631,1.57523030067543e-19
hispanic,-0.0636662244722962,0.938318134899991,0.00434347305849387,0.00435075689412677,-14.6333674856073,1.72056052595901e-48
pct_blk,0.00431215512693802,1.00432146584614,0.00355521926084849,0.00353339484917968,1.2204000149995,0.222313271682715
medhouseholdincome,6.71960590571322e-07,1.00000067196082,5.07129931906897e-08,4.98436286303671e-08,13.4813738292306,2.01322889328907e-41
medianhousevalue,-2.49327870535816e-07,0.999999750672161,7.04697816929975e-09,6.95525435352465e-09,-35.8474123105888,2.01795986456047e-281
poverty,-0.167991480513693,0.845361036695756,0.0116063920183357,0.0114894245558075,-14.6214007235705,2.05136039843733e-48
education,0.0389885054616865,1.03975853203719,0.00615835346991917,0.00608908269320387,6.40301789712961,1.52335327824392e-10
popdensity,-1.03197569098343e-06,0.999998968024842,7.36721427060929e-08,7.27387091028709e-08,-14.1874347745703,1.09594884770428e-45
pct_owner_occ,-0.011835279870878,0.988234481567328,0.00500445780331876,0.00493034324550791,-2.40049815632232,0.0163727732289056
summer_tmmx,0.000486221255596004,1.00048633948031,0.000314896399339655,0.000312263863053461,1.55708461056463,0.119450398320292
winter_tmmx,6.28554642208936e-05,1.00006285743967,0.000163457863658195,0.000162281364969841,0.387323980375533,0.698516374584024
summer_rmax,-0.00137889479041863,0.998622055448193,9.82692302654364e-05,9.76749219103081e-05,-14.1171834433083,2.97651946915413e-45
winter_rmax,0.000991575101699458,1.00099206687482,9.26119711436475e-05,9.2182992293587e-05,10.7565948666698,5.51712598618627e-27
as.factor(year)2001,0.0667176178780021,1.06899357087705,0.00398718964403851,0.00395906819002909,16.8518486360074,1.0168575892238e-63
as.factor(year)2002,0.053975682541031,1.05545893576365,0.00355920585456493,0.00353449607849473,15.271111168984,1.19125743360501e-52
as.factor(year)2003,0.0223186952083806,1.02256962058479,0.0033904850622201,0.00336623167530694,6.63017206216074,3.35295796934736e-11
as.factor(year)2004,-0.0341121544324657,0.966463105437805,0.00326153698647552,0.003239300263805,-10.5307170235575,6.23576619271376e-26
as.factor(year)2005,-0.0311530849968777,0.969327172270207,0.00316333799512988,0.00314151809562893,-9.91657028499175,3.52666617074234e-23
as.factor(year)2006,-0.0679504139322212,0.934306801028968,0.00299046805709505,0.00297347699162209,-22.852174112554,1.39042774934131e-115
as.factor(year)2007,-0.0832762921540801,0.9200968965445,0.00297487806087816,0.00295755485775967,-28.1571420173627,1.95938988155864e-174
as.factor(year)2008,-0.0662975366332867,0.935852372498752,0.00285696330508744,0.00284007458481753,-23.3435899844673,1.60107282559195e-120
as.factor(year)2009,-0.118296565984142,0.888432534672331,0.00282244786101097,0.00280639860928829,-42.1524460540345,0
as.factor(year)2010,-0.106415436528129,0.899051071826797,0.00284541069063633,0.0028275646585349,-37.6350143601201,1.14130404206591e-308
as.factor(year)2011,-0.0861995386453637,0.91741115397636,0.00287653200175838,0.0028563326047906,-30.178396766816,4.55028647867354e-200
as.factor(year)2012,-0.0944262431392685,0.909894843138369,0.00272872585606137,0.00270582793365517,-34.8973569105382,8.15342640001158e-267
as.factor(year)2013,-0.0637747578516527,0.938216301588156,0.00273835329891306,0.00271115469063708,-23.5230981367082,2.36726446346126e-122
as.factor(year)2014,-0.0797080489488106,0.923385890519265,0.00288347625920178,0.00285180234635565,-27.9500607924916,6.58108821752902e-172
as.factor(year)2015,-0.0257541127851371,0.974574695607095,0.00286805643414517,0.00283376669718716,-9.08829679264033,1.00602599420389e-19
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.01205563778664,1.01212859989465,0.00168935782859266,0.00166652378418106,7.23400283936791,4.68961961776337e-13
as.factor(region)SOUTH,0.0342345983249202,1.03482734701596,0.00192880299401903,0.00190951099791276,17.9284635502708,7.07067428937309e-72
as.factor(region)WEST,0.0379184927397745,1.03864657219187,0.00299401822036161,0.00297732276320102,12.7357682574552,3.74144956705245e-37
get(pollutants_i):as.factor(sex)2,-0.000553994424840538,0.999446159001737,0.000370431068883025,0.000366043049930694,-1.51346795122986,0.130160835948987
