rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.000945199512365879,1.0009456463542,0.000127532040757619,0.00053798812549501,1.75691519491474,0.0789322652674671
mean_bmi,0.00794893430207093,1.0079806109566,0.000594567343177932,0.00188028680819021,4.22751160485025,2.36289991679754e-05
smoke_rate,0.00662576615578863,1.00664776510415,0.00766442310941085,0.024245780623315,0.273275018805426,0.784641816842285
hispanic,-0.0601413568383815,0.941631418135893,0.00403318233172977,0.0129708927614419,-4.63663973979968,3.54118821454678e-06
pct_blk,0.000985837737961021,1.00098632383571,0.00322488668767974,0.00987706352279768,0.0998108127669288,0.920494523574055
medhouseholdincome,2.21505541677853e-07,1.00000022150557,4.17781158653771e-08,1.48152350584914e-07,1.49511999508165,0.134883128395191
medianhousevalue,-1.22481315803883e-07,0.999999877518692,5.61987187054387e-09,2.12018533710055e-08,-5.7769155205734,7.60824613286542e-09
poverty,-0.16378244358858,0.848926691235982,0.0102823157444134,0.0331941796886669,-4.93407112706864,8.05330906473945e-07
education,0.106328586979385,1.11218726672649,0.00550021610338643,0.0174130956503025,6.10624262995639,1.02003907611498e-09
popdensity,-1.15848787662622e-06,0.999998841512794,4.54859856592871e-08,1.90252842997836e-07,-6.08920139311346,1.13475300891694e-09
pct_owner_occ,0.00596810437303572,1.00598594898979,0.00429236811177255,0.0145107998852207,0.411287070336781,0.680862049278598
summer_tmmx,0.00106100783436655,1.0010615709023,0.00026674741724773,0.000968618783692877,1.0953822620716,0.273349201808247
winter_tmmx,-0.00184009472464754,0.998161597211717,0.000142205786272572,0.000501562393635249,-3.66872546267038,0.000243762668190588
summer_rmax,-0.000596679109103261,0.999403498868476,8.07687782929592e-05,0.000305504068122914,-1.95309709873715,0.0508080906979389
winter_rmax,0.000814758823011536,1.00081509082914,8.14865742257907e-05,0.000302846903339296,2.69033235614339,0.00713808894276505
as.factor(year)2001,0.0957485949794444,1.10048236242241,0.00404220688905579,0.0106912737443438,8.95577059095511,3.37370857094695e-19
as.factor(year)2002,0.0977111781103697,1.10264427131181,0.00339369804635793,0.0102136742974271,9.566701978639,1.10370296744514e-21
as.factor(year)2003,0.0467710517946969,1.04788207089449,0.00314328362266398,0.00997326721185637,4.68964189980739,2.73683587469493e-06
as.factor(year)2004,8.48351608096612e-05,1.00008483875941,0.00290095215149701,0.00945571006091925,0.0089718445535135,0.992841599783662
as.factor(year)2005,0.000193861578113326,1.00019388037048,0.00282351066945513,0.00908907659478011,0.0213290729912719,0.982983152217739
as.factor(year)2006,-0.0268179481581295,0.973538459862135,0.00270139578347818,0.00878356394229126,-3.05319666758569,0.00226417497105179
as.factor(year)2007,-0.0390908787467544,0.961663310418633,0.00264636886441033,0.00872992139414834,-4.47780420714406,7.54147186977327e-06
as.factor(year)2008,-0.0171745895761785,0.982972052978672,0.00261419176326362,0.00862793593537069,-1.99057917268142,0.0465271718653999
as.factor(year)2009,-0.067136343970493,0.935067701801934,0.0023962654161409,0.00833980108588931,-8.05011333952385,8.27173991912722e-16
as.factor(year)2010,-0.0436669733480493,0.957272701717793,0.00253485910430914,0.00862247498131164,-5.06432009865998,4.09860474790386e-07
as.factor(year)2011,-0.0508368252655554,0.950433744653885,0.00258205676850498,0.00884680144997779,-5.74635087641568,9.11899797914782e-09
as.factor(year)2012,-0.0482961333457493,0.95285157416858,0.00252400492960815,0.00844286398697739,-5.72034956624235,1.06305113179532e-08
as.factor(year)2013,-0.0272757533633791,0.973092870891956,0.00243651823122383,0.00846442316692183,-3.22239954518935,0.00127121732830357
as.factor(year)2014,-0.0469002559965664,0.954182566833234,0.00259630323870507,0.00895223207881603,-5.23894550360777,1.61496714979981e-07
as.factor(year)2015,-0.00348494990174204,0.996521115488261,0.00253155798734629,0.00903605017364205,-0.385671818413267,0.699739736757168
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,-0.00155337155739259,0.998447834299743,0.0015712894874366,0.00453886522350016,-0.342237868035813,0.732171889357885
as.factor(region)SOUTH,0.032966636862667,1.03351605732794,0.00175464090417744,0.0053926234851934,6.11328362775261,9.76016760708736e-10
as.factor(region)WEST,-0.0312553376490825,0.969228061063266,0.0025407583695558,0.00908356472772584,-3.44086694881819,0.000579853589063047
