rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.000984478900629007,1.00098496365905,0.000103452038004873,0.000338351871194032,2.90963043045932,0.00361856363570844
mean_bmi,0.00731484316654643,1.00734166198376,0.000591661118409907,0.00150036405712775,4.8753788334211,1.08599839184049e-06
smoke_rate,0.0174651454375838,1.01761855288327,0.00773185044498365,0.0197115969030607,0.886034019642109,0.37559919547115
hispanic,-0.0524335550041768,0.948917369771813,0.0040910587394314,0.0114540526170658,-4.5777295388057,4.70049882451749e-06
pct_blk,-0.00203170076120637,0.99797036174575,0.00317883901698114,0.00795752806319992,-0.255318076803535,0.798477439235157
medhouseholdincome,2.23318277941045e-07,1.0000002233183,4.44216034969883e-08,1.24499590535518e-07,1.79372700729755,0.0728567524171903
medianhousevalue,-1.21523640781214e-07,0.999999878476367,6.1961979067561e-09,1.83824539946042e-08,-6.61084971663112,3.82120259980341e-11
poverty,-0.17211495652863,0.841882387728739,0.0105580857265095,0.026775501976124,-6.42807580907753,1.29229293574891e-10
education,0.114182506510894,1.12095668811054,0.00554971714380996,0.0141507803326285,8.06899010704128,7.08820083363113e-16
popdensity,-1.33776757922105e-06,0.999998662233316,6.85856073684472e-08,1.7937770255859e-07,-7.4578253603404,8.79621506890897e-14
pct_owner_occ,-0.0330649201965769,0.967475748834413,0.00445077312901587,0.011950060307398,-2.76692496489806,0.00565877780421024
summer_tmmx,0.00283730072226217,1.0028413296695,0.00029967692940587,0.000906301034081408,3.13063829297949,0.00174426851395691
winter_tmmx,-0.00309827258415657,0.996906522109312,0.000158587441738195,0.000472055082791243,-6.56337088001808,5.2604788043944e-11
summer_rmax,-6.28451869005588e-05,0.999937156787817,8.51480744707996e-05,0.000265348928087726,-0.236839799404736,0.812781074333146
winter_rmax,0.000176061024808739,1.00017607652446,8.77800238482741e-05,0.000266022751380196,0.661826944858242,0.508082135588199
as.factor(year)2001,0.105219400351651,1.11095432738902,0.00357836118907505,0.00834620371742907,12.6068574305137,1.93558192464117e-36
as.factor(year)2002,0.090950002023055,1.09521424539294,0.00325242761186793,0.00839942842036671,10.8281179946152,2.53308000198104e-27
as.factor(year)2003,0.0332038716987105,1.03376127242598,0.00310398954624939,0.00784721493373228,4.23129377481167,2.32350965865613e-05
as.factor(year)2004,-0.00839747295993289,0.9916376873281,0.00295961811351341,0.00768277972239686,-1.09302534542967,0.274382671700726
as.factor(year)2005,-0.0161403052541867,0.983989251507591,0.00278570502102319,0.00733804758064361,-2.19953674009444,0.0278397796936009
as.factor(year)2006,-0.0403894106745913,0.960415370326607,0.00279064950673549,0.0072667972678476,-5.55807588761239,2.72764796392779e-08
as.factor(year)2007,-0.0429266880900908,0.957981618954836,0.00261199236990405,0.00710101821536032,-6.04514546903082,1.49275254861321e-09
as.factor(year)2008,-0.0304044821374083,0.970053085039417,0.00265479489446122,0.00709543389938694,-4.28507721564924,1.82675730505329e-05
as.factor(year)2009,-0.0740317809688656,0.928642180224087,0.00250073159840166,0.00680362313773715,-10.8812289378933,1.41640337436392e-27
as.factor(year)2010,-0.0672050979845211,0.935003414354083,0.00263393571420935,0.00725651448748394,-9.26134690427983,2.01869402032445e-20
as.factor(year)2011,-0.0548035779606363,0.946671076756132,0.00267435068722483,0.00746075366109291,-7.34558202161686,2.04865651081396e-13
as.factor(year)2012,-0.06113953954869,0.940691966884827,0.00253003853687439,0.00696313699319111,-8.78045909601881,1.62808718156439e-18
as.factor(year)2013,-0.0330448692273379,0.967495147855376,0.00243531329523682,0.00697317120028918,-4.73885815767259,2.14925878562949e-06
as.factor(year)2014,-0.049388218447899,0.951811547162236,0.00265197980486105,0.0074404301315932,-6.63781764957231,3.18361361823814e-11
as.factor(year)2015,-0.012387696801427,0.987688714867619,0.0026613605254376,0.00739878203819394,-1.67428865149416,0.0940738837641852
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,-0.000800984796022849,0.999199335906667,0.0015854019827205,0.00349518429008919,-0.229168115196126,0.818738253538453
as.factor(region)SOUTH,0.0237914831718571,1.02407675838859,0.00172382306840253,0.00445615146439964,5.33902030977361,9.34501765124219e-08
as.factor(region)WEST,-0.0314809258030984,0.969009439354312,0.00282676707142737,0.00843238487089644,-3.73333597613076,0.000188960266019142
